repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units,frontier,frontier_all
5,0.2,0.5,goco-M,adapt_23.0262_to_19.5221_q0.4,0.2033778641665757,0.1999173971209454,1857,4506,905,587,1671,1676
5,0.2,0.5,goco-N,top12426,0.1996470097731992,0.1923373870194121,2136,3597,1288,986,1605,1640
5,0.2,0.1,global-coarse,global_27.1593,0.1497120713608094,0.1472163820453239,1284,2816,700,453,1284,1293
5,0.2,0.1,global-dense,global_23.8149,0.1865994584821399,0.1863170385486637,1572,3637,839,529,1572,1572
5,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1668509048610779,0.1651451490484716,1617,3717,775,517,1414,1444
5,0.2,0.1,goco-N,top12426,0.1996470097731992,0.1923373870194121,2136,3597,1288,986,1605,1640
6,0.05,0.5,global-coarse,global_62.0008,0.040159977934078,0.0387968126966609,399,651,239,163,399,399
6,0.05,0.5,global-dense,global_55.6416,0.0478638414405894,0.0478642374317639,469,816,261,174,469,472
6,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0460724629115196,0.0450298563348639,485,857,257,177,436,446
6,0.05,0.5,goco-N,top2328,0.0445248931181905,0.0458224122867521,546,718,471,382,429,435
6,0.05,0.1,global-coarse,global_62.0008,0.040159977934078,0.0387968126966609,399,651,239,163,399,399
6,0.05,0.1,global-dense,global_57.4523,0.0468792481825166,0.0463306925750021,449,773,257,170,449,461
6,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0460724629115196,0.0450298563348639,485,857,257,177,436,446
6,0.05,0.1,goco-N,top2046,0.0393807750655082,0.0386857957419414,489,643,424,345,362,386
6,0.1,0.5,global-coarse,global_37.7842,0.0884158835234549,0.0835575569262974,800,1683,416,273,800,823
6,0.1,0.5,global-dense,global_33.8713,0.1070781698419265,0.1010707552437446,974,2097,501,332,974,975
6,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.1008659650467677,0.0944181682421439,1021,2185,491,344,877,898
6,0.1,0.5,goco-N,top5043,0.0974885237504186,0.0984604335135442,1105,1552,838,659,848,873
6,0.1,0.1,global-coarse,global_37.7842,0.0884158835234549,0.0835575569262974,800,1683,416,273,800,823
6,0.1,0.1,global-dense,global_34.9736,0.1017321092000446,0.0956085349484439,908,1969,468,305,908,911
6,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.1008659650467677,0.0944181682421439,1021,2185,491,344,877,898
6,0.1,0.1,goco-N,top4433,0.0848754851547569,0.086498630352955,993,1375,768,610,766,784
6,0.2,0.5,global-coarse,global_23.0262,0.2016606808217702,0.1995769016332352,1822,4169,919,600,1822,1832
6,0.2,0.5,global-dense,global_23.0262,0.2016606808217702,0.1995769016332352,1822,4169,919,600,1822,1832
6,0.2,0.5,goco-M,adapt_23.0262_to_19.5221_q0.4,0.199791311234459,0.1990438480653956,2066,4763,924,629,1761,1795
6,0.2,0.5,goco-N,top10925,0.1864517418406537,0.1895677087738061,2189,3364,1343,1042,1698,1722
6,0.2,0.1,global-coarse,global_27.1593,0.1484307433935071,0.1453608790620792,1388,3028,717,486,1388,1394
6,0.2,0.1,global-dense,global_23.8149,0.1877019883788727,0.1844665392760048,1728,3918,866,571,1728,1728
6,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1612938348694877,0.1612809790429271,1747,3931,774,542,1430,1463
6,0.2,0.1,goco-N,top10925,0.1864517418406537,0.1895677087738061,2189,3364,1343,1042,1698,1722
7,0.05,0.5,global-coarse,global_62.0008,0.0390389502925704,0.0386076240400974,408,666,236,158,408,408
7,0.05,0.5,global-dense,global_55.6416,0.0484834604094016,0.0475385767495024,470,822,264,171,470,472
7,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0488346434974486,0.0470012284124575,483,874,263,173,470,472
7,0.05,0.5,goco-N,top3012,0.0444418175489751,0.046423206703935,693,909,515,433,424,426
7,0.05,0.1,global-coarse,global_62.0008,0.0390389502925704,0.0386076240400974,408,666,236,158,408,408
7,0.05,0.1,global-dense,global_56.5397,0.0475072403806371,0.0466353322954233,462,799,260,168,462,462
7,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0488346434974486,0.0470012284124575,483,874,263,173,470,472
7,0.05,0.1,goco-N,top2648,0.0378850864576971,0.0400403887126193,612,794,458,386,367,374
7,0.1,0.5,global-coarse,global_37.7842,0.0819745716518575,0.0830600608294083,788,1597,395,264,788,790
7,0.1,0.5,global-dense,global_34.418,0.0962011807895134,0.0981385500353633,929,1900,467,315,929,935
7,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.089398924525114,0.0902654334369053,978,1989,456,327,830,847
7,0.1,0.5,goco-N,top5736,0.1012264467477541,0.0977271682196499,1252,1731,900,711,951,959
7,0.1,0.1,global-coarse,global_37.7842,0.0819745716518575,0.0830600608294083,788,1597,395,264,788,790
7,0.1,0.1,global-dense,global_36.1117,0.0908467469183232,0.0920221070448688,854,1754,430,284,854,855
7,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.089398924525114,0.0902654334369053,978,1989,456,327,830,847
7,0.1,0.1,goco-N,top5043,0.0883311661445711,0.0857336096713941,1111,1524,823,655,830,837
7,0.2,0.5,global-coarse,global_23.0262,0.198530151862248,0.1989657044065818,1697,3875,905,587,1697,1705
7,0.2,0.5,global-dense,global_23.0262,0.198530151862248,0.1989657044065818,1697,3875,905,587,1697,1705
7,0.2,0.5,goco-M,adapt_23.0262_to_19.5221_q0.4,0.1966940273247282,0.1980406506833873,1914,4396,907,614,1691,1691
7,0.2,0.5,goco-N,top10925,0.1806078684336855,0.1794732918405149,2146,3206,1263,971,1618,1618
7,0.2,0.1,global-coarse,global_27.1593,0.1425008253824968,0.145872468758384,1311,2793,692,469,1311,1316
7,0.2,0.1,global-dense,global_23.8149,0.1802190547100985,0.1843324971932761,1618,3626,843,560,1618,1618
7,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1621351718594898,0.1641034245518892,1635,3681,767,533,1466,1466
7,0.2,0.1,goco-N,top10925,0.1806078684336855,0.1794732918405149,2146,3206,1263,971,1618,1618
8,0.05,0.5,global-coarse,global_62.0008,0.0363043521090687,0.0388339278324103,396,638,226,158,396,396
8,0.05,0.5,global-dense,global_56.5397,0.0432851626376657,0.047401119366218,466,770,248,166,466,466
8,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0414405894753433,0.0443171143474633,487,818,244,168,443,452
8,0.05,0.5,goco-N,top3012,0.0461813148925271,0.0463850514685112,647,855,462,383,476,479
8,0.05,0.1,global-coarse,global_62.0008,0.0363043521090687,0.0388339278324103,396,638,226,158,396,396
8,0.05,0.1,global-dense,global_59.3219,0.0396250763441495,0.0440686400094594,434,702,236,161,434,434
8,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0414405894753433,0.0443171143474633,487,818,244,168,443,452
8,0.05,0.1,goco-N,top2648,0.038686289575822,0.0398210919075866,575,751,408,344,412,413
8,0.1,0.5,global-coarse,global_37.7842,0.072892080566884,0.083490935805048,784,1528,371,257,784,805
8,0.1,0.5,global-dense,global_36.1117,0.0807166170840146,0.0925549665306873,860,1686,402,275,860,861
8,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0779969593684943,0.0904948575282414,959,1863,412,299,805,821
8,0.1,0.5,goco-N,top5736,0.0906119681357579,0.0907111435184272,1206,1677,790,647,941,943
8,0.1,0.1,global-coarse,global_37.7842,0.072892080566884,0.083490935805048,784,1528,371,257,784,805
8,0.1,0.1,global-dense,global_36.6945,0.0790518220803698,0.0894764357207452,829,1637,393,269,829,839
8,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.6,0.0736208798786374,0.0840272440424185,915,1762,389,283,805,810
8,0.1,0.1,goco-N,top5736,0.0906119681357579,0.0907111435184272,1206,1677,790,647,941,943
8,0.2,0.5,global-coarse,global_27.1593,0.1319444576478089,0.1471675421496086,1309,2662,662,447,1309,1316
8,0.2,0.5,global-dense,global_23.8149,0.1711540813742101,0.18649029484812,1605,3464,819,538,1605,1605
8,0.2,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1486434152557239,0.1638487182291045,1622,3506,731,504,1377,1405
8,0.2,0.5,goco-N,top12426,0.1916875825924476,0.194525442639503,2354,3693,1300,1019,1732,1745
8,0.2,0.1,global-coarse,global_27.1593,0.1319444576478089,0.1471675421496086,1309,2662,662,447,1309,1316
8,0.2,0.1,global-dense,global_24.1993,0.1667279740075987,0.1808559810021472,1575,3335,807,532,1575,1579
8,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1486434152557239,0.1638487182291045,1622,3506,731,504,1377,1405
8,0.2,0.1,goco-N,top10925,0.1690180883482714,0.1727590568459726,2097,3211,1201,955,1575,1587
9,0.05,0.5,global-coarse,global_62.0008,0.0362866205646511,0.0382548660242135,440,665,231,161,440,440
9,0.05,0.5,global-dense,global_55.6416,0.0430925783635754,0.0469432565411321,508,837,250,174,508,512
9,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.041708532813208,0.044628487344724,520,876,247,175,496,500
9,0.05,0.5,goco-N,top3012,0.04505404837428,0.0445032822360729,628,826,459,380,508,512
9,0.05,0.1,global-coarse,global_62.0008,0.0362866205646511,0.0382548660242135,440,665,231,161,440,440
9,0.05,0.1,global-dense,global_59.3219,0.0381622239297042,0.04307835563526,468,729,236,164,468,468
9,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.75,0.041708532813208,0.044628487344724,520,876,247,175,496,500
9,0.05,0.1,goco-N,top3012,0.04505404837428,0.0445032822360729,628,826,459,380,508,512
9,0.1,0.5,global-coarse,global_37.7842,0.082749341634323,0.082130649657205,809,1618,404,266,821,823
9,0.1,0.5,global-dense,global_34.418,0.0947478508711442,0.0976640456154872,939,1921,455,305,939,942
9,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0918751764945393,0.0906146879591492,1000,2033,462,325,875,876
9,0.1,0.5,goco-N,top5736,0.0970439366177885,0.0937224809034713,1146,1613,802,631,939,942
9,0.1,0.1,global-coarse,global_37.7842,0.082749341634323,0.082130649657205,809,1618,404,266,821,823
9,0.1,0.1,global-dense,global_35.5381,0.0938813037282213,0.094561154576329,889,1846,442,285,889,902
9,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0918751764945393,0.0906146879591492,1000,2033,462,325,875,876
9,0.1,0.1,goco-N,top5736,0.0970439366177885,0.0937224809034713,1146,1613,802,631,939,942
9,0.2,0.5,global-coarse,global_23.0262,0.2045884918067862,0.2005203033834419,1772,3990,926,588,1772,1778
9,0.2,0.5,global-dense,global_23.0262,0.2045884918067862,0.2005203033834419,1772,3990,926,588,1772,1778
9,0.2,0.5,goco-M,adapt_23.0262_to_19.5221_q0.4,0.2025754270323984,0.1998054479406663,2013,4564,928,615,1715,1746
9,0.2,0.5,goco-N,top12426,0.1929455445487717,0.1941894797403353,2313,3546,1320,1017,1688,1704
9,0.2,0.1,global-coarse,global_27.1593,0.1480608494158349,0.1468805737877334,1343,2849,714,472,1343,1354
9,0.2,0.1,global-dense,global_23.8149,0.1896078759734482,0.1861000616619839,1688,3751,874,562,1688,1688
