repeat,rule,cutoff,fdp,correct,total,units,supp_units
67,cutoff1.30103,1.30103,0.8132831800747903,17198.0,119615.0,2373,1954
67,cutoff2,2.0,0.7896774199198756,14332.0,81994.0,2369,1871
68,cutoff0.30103,0.30103,0.859466037066336,25571.0,306432.0,2370,2121
68,cutoff0.5,0.5,0.8482304674273444,23008.0,232421.0,2368,2085
68,cutoff1,1.0,0.8215115808942929,19154.0,153308.0,2368,2010
68,cutoff1.30103,1.30103,0.8083728655522883,17197.0,118800.0,2368,1957
68,cutoff2,2.0,0.7845305047755021,14396.0,81633.0,2363,1864
69,cutoff0.30103,0.30103,0.8685452405832709,26464.0,319029.0,2382,2149
69,cutoff0.5,0.5,0.8566827457735223,23742.0,239611.0,2378,2114
69,cutoff1,1.0,0.8304219253215845,19674.0,159599.0,2377,2027
69,cutoff1.30103,1.30103,0.8175541777774324,17613.0,123692.0,2377,1982
69,cutoff2,2.0,0.7931468993455363,14697.0,84596.0,2370,1904
70,cutoff0.30103,0.30103,0.8641434732399276,26559.0,306951.0,2383,2138
70,cutoff0.5,0.5,0.8528829704648218,23753.0,231247.0,2380,2091
70,cutoff1,1.0,0.8263596148806158,19753.0,153501.0,2378,2009
70,cutoff1.30103,1.30103,0.8129555652011936,17713.0,119500.0,2378,1963
70,cutoff2,2.0,0.788912045023211,14799.0,81721.0,2373,1887
71,cutoff0.30103,0.30103,0.8665792598007785,26039.0,311647.0,2382,2141
