repeat,alpha,yield_M_T,yield_N_T,choose_N,label_M,label_N
88,0.1,407,514,1,adapt_32.0342_to_27.1593_q0.75,top6383
88,0.2,723,748,1,adapt_19.5221_to_16.5512_q0.75,top10687
89,0.05,311,242,0,adapt_37.7842_to_32.0342_q0.75,top2946
89,0.1,411,404,0,adapt_32.0342_to_27.1593_q0.75,top5612
89,0.2,718,704,0,adapt_19.5221_to_16.5512_q0.75,top12156
90,0.05,302,299,0,adapt_37.7842_to_32.0342_q0.75,top2946
90,0.1,392,461,1,adapt_32.0342_to_27.1593_q0.75,top5612
90,0.2,795,778,0,adapt_16.5512_to_14.0325_q0.4,top12156
91,0.05,306,377,1,adapt_37.7842_to_32.0342_q0.75,top4337
91,0.1,452,526,1,adapt_27.1593_to_23.0262_q0.4,top7261
91,0.2,698,816,1,adapt_19.5221_to_16.5512_q0.75,top13828
92,0.05,257,291,1,adapt_37.7842_to_32.0342_q0.75,top3352
92,0.1,450,514,1,adapt_27.1593_to_23.0262_q0.75,top6383
92,0.2,770,776,1,adapt_16.5512_to_14.0325_q0.5,top12156
93,0.05,355,358,1,adapt_37.7842_to_32.0342_q0.75,top3813
93,0.1,538,581,1,adapt_27.1593_to_23.0262_q0.75,top7261
93,0.2,743,912,1,adapt_19.5221_to_16.5512_q0.75,top13828
94,0.05,291,375,1,adapt_37.7842_to_32.0342_q0.75,top3813
94,0.1,492,575,1,adapt_27.1593_to_23.0262_q0.6,top7261
94,0.2,714,824,1,adapt_19.5221_to_16.5512_q0.75,top12156
95,0.05,321,342,1,adapt_37.7842_to_32.0342_q0.75,top3813
95,0.1,503,501,0,adapt_27.1593_to_23.0262_q0.75,top6383
95,0.2,705,819,1,adapt_19.5221_to_16.5512_q0.75,top12156
96,0.05,334,334,0,adapt_37.7842_to_32.0342_q0.75,top3813
96,0.1,509,515,1,adapt_27.1593_to_23.0262_q0.75,top6383
96,0.2,807,852,1,adapt_16.5512_to_14.0325_q0.4,top13828
97,0.05,320,331,1,adapt_37.7842_to_32.0342_q0.75,top3813
97,0.1,493,513,1,adapt_27.1593_to_23.0262_q0.75,top6383
97,0.2,828,811,0,adapt_16.5512_to_14.0325_q0.35,top12156
98,0.05,281,317,1,adapt_37.7842_to_32.0342_q0.75,top3813
98,0.1,465,506,1,adapt_27.1593_to_23.0262_q0.75,top7261
98,0.2,758,800,1,adapt_16.5512_to_14.0325_q0.4,top13828
99,0.05,289,234,0,adapt_37.7842_to_32.0342_q0.75,top2946
99,0.1,471,536,1,adapt_27.1593_to_23.0262_q0.6,top7261
99,0.2,694,855,1,adapt_19.5221_to_16.5512_q0.75,top13828
