repeat,alpha,K,yield_M_T,yield_N_T,choose_N,label_M,label_N
70,0.2,10,691,731,1,adapt_23.0262_to_19.5221_q0.6,top10925
71,0.05,10,190,304,1,adapt_52.5656_to_44.5662_q0.75,top4433
71,0.1,10,386,507,1,adapt_32.0342_to_27.1593_q0.5,top7422
71,0.2,10,682,818,1,adapt_23.0262_to_19.5221_q0.75,top12426
72,0.05,10,166,223,1,adapt_62.0008_to_52.5656_q0.75,top3012
72,0.1,10,328,403,1,adapt_37.7842_to_32.0342_q0.75,top5736
72,0.2,10,542,679,1,adapt_27.1593_to_23.0262_q0.75,top10925
73,0.05,10,155,160,1,adapt_62.0008_to_52.5656_q0.6,top2046
73,0.1,10,349,330,0,adapt_37.7842_to_32.0342_q0.75,top4433
73,0.2,10,570,776,1,adapt_27.1593_to_23.0262_q0.75,top12426
74,0.05,10,195,263,1,adapt_62.0008_to_52.5656_q0.75,top3897
74,0.1,10,406,372,0,adapt_37.7842_to_32.0342_q0.75,top5736
74,0.2,10,707,765,1,adapt_27.1593_to_23.0262_q0.75,top12426
75,0.05,10,188,231,1,adapt_62.0008_to_52.5656_q0.75,top2648
75,0.1,10,369,401,1,adapt_37.7842_to_32.0342_q0.75,top5043
75,0.2,10,739,866,1,adapt_23.0262_to_19.5221_q0.6,top12426
76,0.05,10,149,318,1,adapt_62.0008_to_52.5656_q0.75,top3897
76,0.1,10,323,487,1,adapt_37.7842_to_32.0342_q0.75,top6525
76,0.2,10,678,852,1,adapt_23.0262_to_19.5221_q0.6,top12426
77,0.05,10,150,186,1,adapt_52.5656_to_44.5662_q0.6,top3012
77,0.1,10,351,381,1,adapt_32.0342_to_27.1593_q0.3,top5736
77,0.2,10,677,680,1,adapt_23.0262_to_19.5221_q0.75,top10925
78,0.05,10,181,266,1,adapt_62.0008_to_52.5656_q0.75,top3012
78,0.1,10,360,455,1,adapt_37.7842_to_32.0342_q0.75,top5736
78,0.2,10,701,854,1,adapt_23.0262_to_19.5221_q0.5,top12426
79,0.05,10,161,182,1,adapt_62.0008_to_52.5656_q0.75,top2648
79,0.1,10,311,320,1,adapt_37.7842_to_32.0342_q0.75,top5043
79,0.2,10,481,656,1,adapt_27.1593_to_23.0262_q0.75,top10925
80,0.05,10,184,191,1,adapt_62.0008_to_52.5656_q0.6,top2648
80,0.1,10,350,380,1,adapt_37.7842_to_32.0342_q0.75,top5736
80,0.2,10,571,846,1,adapt_27.1593_to_23.0262_q0.75,top14135
81,0.05,10,167,295,1,adapt_62.0008_to_52.5656_q0.75,top3897
81,0.1,10,322,485,1,adapt_37.7842_to_32.0342_q0.75,top6525
81,0.2,10,654,923,1,adapt_23.0262_to_19.5221_q0.5,top14135
82,0.05,10,207,262,1,adapt_62.0008_to_52.5656_q0.75,top3012
82,0.1,10,390,446,1,adapt_37.7842_to_32.0342_q0.75,top5736
82,0.2,10,623,759,1,adapt_27.1593_to_23.0262_q0.75,top10925
83,0.05,10,159,258,1,adapt_62.0008_to_52.5656_q0.75,top3426
83,0.1,10,324,450,1,adapt_37.7842_to_32.0342_q0.75,top6525
83,0.2,10,553,688,1,adapt_27.1593_to_23.0262_q0.75,top10925
84,0.05,10,172,185,1,adapt_62.0008_to_52.5656_q0.75,top3012
84,0.1,10,334,359,1,adapt_37.7842_to_32.0342_q0.75,top5736
84,0.2,10,704,752,1,adapt_23.0262_to_19.5221_q0.6,top12426
85,0.05,10,170,195,1,adapt_62.0008_to_52.5656_q0.75,top3012
85,0.1,10,374,401,1,adapt_37.7842_to_32.0342_q0.75,top5736
85,0.2,10,708,716,1,adapt_23.0262_to_19.5221_q0.4,top10925
86,0.05,10,197,191,0,adapt_52.5656_to_44.5662_q0.75,top2648
86,0.1,10,431,417,0,adapt_32.0342_to_27.1593_q0.6,top5736
86,0.2,10,671,717,1,adapt_23.0262_to_19.5221_q0.4,top10925
87,0.05,10,182,297,1,adapt_62.0008_to_52.5656_q0.75,top3897
87,0.1,10,356,478,1,adapt_37.7842_to_32.0342_q0.75,top6525
87,0.2,10,593,904,1,adapt_27.1593_to_23.0262_q0.75,top14135
88,0.05,10,202,278,1,adapt_62.0008_to_52.5656_q0.75,top3426
88,0.1,10,391,445,1,adapt_37.7842_to_32.0342_q0.75,top5736
88,0.2,10,770,940,1,adapt_23.0262_to_19.5221_q0.5,top14135
89,0.05,10,148,180,1,adapt_62.0008_to_52.5656_q0.6,top2328
89,0.1,10,294,313,1,adapt_37.7842_to_32.0342_q0.5,top4433
89,0.2,10,521,708,1,adapt_27.1593_to_23.0262_q0.75,top10925
90,0.05,10,132,192,1,adapt_62.0008_to_52.5656_q0.5,top2648
90,0.1,10,290,340,1,adapt_37.7842_to_32.0342_q0.5,top5043
90,0.2,10,519,648,1,adapt_27.1593_to_23.0262_q0.75,top10925
91,0.05,10,186,234,1,adapt_62.0008_to_52.5656_q0.75,top3012
91,0.1,10,288,398,1,adapt_44.5662_to_37.7842_q0.75,top5736
91,0.2,10,581,714,1,adapt_27.1593_to_23.0262_q0.75,top10925
92,0.05,10,167,176,1,adapt_62.0008_to_52.5656_q0.75,top2648
92,0.1,10,352,321,0,adapt_37.7842_to_32.0342_q0.75,top5043
92,0.2,10,587,740,1,adapt_27.1593_to_23.0262_q0.75,top12426
93,0.05,10,123,233,1,adapt_62.0008_to_52.5656_q0.3,top3012
93,0.1,10,290,358,1,adapt_37.7842_to_32.0342_q0.5,top5043
93,0.2,10,560,709,1,adapt_27.1593_to_23.0262_q0.75,top10925
94,0.05,10,176,165,0,adapt_62.0008_to_52.5656_q0.75,top2648
94,0.1,10,354,331,0,adapt_37.7842_to_32.0342_q0.75,top5043
94,0.2,10,559,702,1,adapt_27.1593_to_23.0262_q0.75,top10925
