repeat,rule,cutoff,fdp,correct,total,units,supp_units
29,cutoff0.5,0.5,0.8245924234124395,14231.0,120157.0,2963,2292
29,cutoff1,1.0,0.7949991389513809,11662.0,80195.0,2930,2117
29,cutoff1.30103,1.30103,0.7757239526795978,10612.0,65450.0,2899,2057
29,cutoff2,2.0,0.7302328400159258,8998.0,48897.0,2796,1911
30,cutoff0.30103,0.30103,0.8266841940313255,15841.0,138621.0,2957,2371
30,cutoff0.5,0.5,0.8139037898800261,14433.0,118441.0,2937,2298
30,cutoff1,1.0,0.7815269224279031,11773.0,78366.0,2901,2126
30,cutoff1.30103,1.30103,0.7617603647518245,10691.0,63660.0,2866,2038
30,cutoff2,2.0,0.718385040312196,9039.0,47362.0,2769,1892
31,cutoff0.30103,0.30103,0.834034886096068,16009.0,140940.0,2965,2375
31,cutoff0.5,0.5,0.8203450047288773,14643.0,120733.0,2942,2298
31,cutoff1,1.0,0.7902697638169258,11943.0,80559.0,2912,2149
31,cutoff1.30103,1.30103,0.770408772300038,10776.0,65433.0,2878,2068
31,cutoff2,2.0,0.722180885182749,9089.0,48739.0,2767,1922
32,cutoff0.30103,0.30103,0.8291488733625432,16003.0,140080.0,2955,2355
32,cutoff0.5,0.5,0.8148458511436824,14696.0,120438.0,2928,2290
32,cutoff1,1.0,0.78285372884321,12002.0,80671.0,2899,2155
32,cutoff1.30103,1.30103,0.7632024874326967,10851.0,65557.0,2868,2089
32,cutoff2,2.0,0.7212109424142916,9105.0,48803.0,2779,1944
33,cutoff0.30103,0.30103,0.8323160085613162,15544.0,141242.0,2959,2362
33,cutoff0.5,0.5,0.8192224070600799,14180.0,120846.0,2940,2284
33,cutoff1,1.0,0.7858615788605233,11491.0,80165.0,2902,2114
33,cutoff1.30103,1.30103,0.768707272509945,10381.0,65045.0,2878,2039
33,cutoff2,2.0,0.7214492458707852,8692.0,48050.0,2768,1885
34,cutoff0.30103,0.30103,0.8302869917969616,15538.0,138296.0,2963,2365
34,cutoff0.5,0.5,0.8175602964502549,14239.0,119245.0,2942,2288
34,cutoff1,1.0,0.7815069688882562,11670.0,79467.0,2901,2120
34,cutoff1.30103,1.30103,0.7645346405307639,10585.0,64752.0,2879,2052
34,cutoff2,2.0,0.7148434729574454,8976.0,48296.0,2762,1902
35,cutoff0.30103,0.30103,0.8370067022855783,15845.0,141264.0,2973,2396
35,cutoff0.5,0.5,0.825596822463936,14479.0,121346.0,2957,2326
35,cutoff1,1.0,0.7902715199628534,11779.0,81053.0,2918,2179
35,cutoff1.30103,1.30103,0.7709298573791521,10619.0,65968.0,2883,2117
35,cutoff2,2.0,0.7273515174614131,8829.0,48846.0,2789,1956
36,cutoff0.30103,0.30103,0.8318583621564477,15395.0,136514.0,2968,2339
36,cutoff0.5,0.5,0.8187202284391975,14146.0,117225.0,2948,2268
36,cutoff1,1.0,0.7876153960403919,11626.0,78323.0,2914,2103
36,cutoff1.30103,1.30103,0.7694901207472914,10569.0,63738.0,2885,2038
36,cutoff2,2.0,0.7235755577994043,8954.0,47653.0,2781,1894
37,cutoff0.30103,0.30103,0.8354152378075939,15896.0,143333.0,2978,2390
37,cutoff0.5,0.5,0.8227082422810951,14555.0,122908.0,2959,2320
37,cutoff1,1.0,0.7908668524109127,11852.0,81794.0,2926,2162
37,cutoff1.30103,1.30103,0.7714668646837444,10735.0,66136.0,2893,2086
37,cutoff2,2.0,0.7238502618136456,9059.0,49008.0,2788,1937
38,cutoff0.30103,0.30103,0.825021930462978,15389.0,136604.0,2953,2358
38,cutoff0.5,0.5,0.8113555041250424,14130.0,117354.0,2928,2289
38,cutoff1,1.0,0.7780124095049233,11652.0,78589.0,2891,2120
38,cutoff1.30103,1.30103,0.7595618048580401,10616.0,64253.0,2862,2058
38,cutoff2,2.0,0.7194066908641057,8971.0,47902.0,2773,1909
39,cutoff0.30103,0.30103,0.8303064062184051,15876.0,142112.0,2960,2369
39,cutoff0.5,0.5,0.8174193401938359,14518.0,121787.0,2941,2299
39,cutoff1,1.0,0.7839174456460638,11811.0,81259.0,2899,2125
39,cutoff1.30103,1.30103,0.7672704905123532,10657.0,65844.0,2871,2055
39,cutoff2,2.0,0.7228548735556987,8909.0,48629.0,2771,1897
40,cutoff0.30103,0.30103,0.8261157553266064,15751.0,136381.0,2954,2357
40,cutoff0.5,0.5,0.8143301174279135,14382.0,116775.0,2937,2276
40,cutoff1,1.0,0.7835722057510726,11740.0,78364.0,2901,2092
40,cutoff1.30103,1.30103,0.7649656310313752,10645.0,63945.0,2870,2025
40,cutoff2,2.0,0.7230061732244983,9024.0,47869.0,2774,1887
41,cutoff0.30103,0.30103,0.8375728581152995,15658.0,140249.0,2974,2368
41,cutoff0.5,0.5,0.8246841268028258,14340.0,120163.0,2951,2297
41,cutoff1,1.0,0.7903396533602348,11679.0,80220.0,2913,2141
41,cutoff1.30103,1.30103,0.7718160135833125,10583.0,65368.0,2878,2061
41,cutoff2,2.0,0.7280380584058874,8919.0,48688.0,2780,1925
42,cutoff0.30103,0.30103,0.8339639236721821,16046.0,141391.0,2980,2407
42,cutoff0.5,0.5,0.8190722104267608,14665.0,121125.0,2952,2328
42,cutoff1,1.0,0.7840153787696681,11925.0,80624.0,2909,2154
42,cutoff1.30103,1.30103,0.7660787520444005,10828.0,65467.0,2881,2086
42,cutoff2,2.0,0.7223423460058995,9066.0,48640.0,2777,1918
43,cutoff0.30103,0.30103,0.8387635754876841,15485.0,139606.0,2981,2358
43,cutoff0.5,0.5,0.8259110297454986,14184.0,119696.0,2959,2285
43,cutoff1,1.0,0.7951607620471568,11579.0,79871.0,2924,2124
43,cutoff1.30103,1.30103,0.7759730584800316,10506.0,64902.0,2891,2048
43,cutoff2,2.0,0.7331422493999447,8841.0,48340.0,2796,1912
44,cutoff0.30103,0.30103,0.833001998998994,16052.0,141702.0,2973,2393
44,cutoff0.5,0.5,0.8172162451453266,14681.0,121233.0,2943,2313
44,cutoff1,1.0,0.7831470335150061,12056.0,80832.0,2913,2158
44,cutoff1.30103,1.30103,0.7645502764811701,10969.0,65720.0,2887,2090
44,cutoff2,2.0,0.7214497500827466,9249.0,49020.0,2794,1941
45,cutoff0.30103,0.30103,0.8306172891353131,15552.0,138137.0,2967,2366
45,cutoff0.5,0.5,0.8162205358450554,14268.0,118355.0,2945,2301
45,cutoff1,1.0,0.7833494767069415,11668.0,79122.0,2908,2126
