repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units,frontier,frontier_all
4,0.05,0.1,global-dense,global_34.9736,0.0398307562120163,0.0413051041901752,828,1161,459,392,828,828
4,0.05,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0434921917070543,0.0435712490511068,941,1365,475,415,828,849
4,0.05,0.1,goco-N,top4933,0.0450994168280113,0.0442946821716748,1168,1449,729,632,828,854
4,0.1,0.5,global-coarse,global_27.1593,0.0897990871092648,0.091054374140867,1248,2001,727,558,1248,1249
4,0.1,0.5,global-dense,global_26.2163,0.0978452188629894,0.0977243662077785,1300,2106,769,579,1300,1315
4,0.1,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.0994005949175577,0.0994442136326022,1489,2479,787,621,1300,1327
4,0.1,0.5,goco-N,top8259,0.0903874352178067,0.0901758110719765,1767,2429,1075,882,1248,1249
4,0.1,0.1,global-coarse,global_27.1593,0.0897990871092648,0.091054374140867,1248,2001,727,558,1248,1249
4,0.1,0.1,global-dense,global_26.6395,0.0961911172654306,0.0956865113559426,1266,2061,754,569,1266,1277
4,0.1,0.1,goco-M,adapt_27.1593_to_23.0262_q0.6,0.0913068954022104,0.0927599026828884,1444,2362,746,596,1248,1250
4,0.1,0.1,goco-N,top8259,0.0903874352178067,0.0901758110719765,1767,2429,1075,882,1248,1249
4,0.2,0.5,global-coarse,global_16.5512,0.2063736075448515,0.2004959354997054,2152,4255,1246,842,2152,2152
4,0.2,0.5,global-dense,global_16.4783,0.2080378614385076,0.2017791910564422,2158,4294,1249,842,2158,2167
4,0.2,0.5,goco-M,adapt_16.5512_to_14.0325_q0.4,0.206286362174892,0.2008497298216169,2368,4814,1246,867,2124,2147
4,0.2,0.5,goco-N,top15729,0.1975905942020643,0.1953289049920351,2860,4670,1604,1212,2098,2119
4,0.2,0.1,global-coarse,global_19.5221,0.159659892252784,0.1557615298675186,1824,3317,1070,763,1824,1824
4,0.2,0.1,global-dense,global_16.7443,0.1990101713041939,0.1937623255078016,2124,4157,1220,834,2124,2125
4,0.2,0.1,goco-M,adapt_19.5221_to_16.5512_q0.75,0.1752750615028482,0.1726254055557157,2105,4090,1118,805,1917,1931
4,0.2,0.1,goco-N,top15729,0.1975905942020643,0.1953289049920351,2860,4670,1604,1212,2098,2119
5,0.05,0.5,global-coarse,global_37.7842,0.0307671102905351,0.030889677068587,707,968,399,353,707,710
5,0.05,0.5,global-dense,global_33.3333,0.0513162550965458,0.049293886734645,928,1333,541,450,928,928
5,0.05,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0417120547734441,0.0394388622172982,943,1347,492,433,838,839
5,0.05,0.5,goco-N,top4337,0.0468966843603354,0.0453706838185511,1096,1340,866,742,838,874
5,0.05,0.1,global-coarse,global_37.7842,0.0307671102905351,0.030889677068587,707,968,399,353,707,710
