gene,community
C5orf63,885
C5orf64,886
C6,887
C6orf120,14
C6orf15,888
C6orf226,29
C6orf89,4
C7,889
C7orf25,890
C7orf31,891
C7orf61,892
C8A,893
C8B,894
C8G,895
C8orf33,3
C8orf37,14
C8orf44,14
C8orf48,896
C8orf74,897
C8orf88,60
C9,898
C9orf116,899
C9orf129,900
C9orf135,901
C9orf16,54
C9orf43,902
C9orf47,903
C9orf57,904
C9orf64,14
C9orf72,905
C9orf78,38
CA1,906
CA10,907
CA11,908
CA12,909
CA13,910
CA14,911
CA2,60
CA3,11
CA4,912
CA5A,10
CA6,913
CA7,914
CA8,915
CA9,916
CAAP1,917
CAB39,5
CAB39L,918
CABIN1,70
CABLES1,919
CABLES2,920
CABP1,921
CABP2,922
CABP4,73
CABP5,923
CABP7,41
CABS1,924
CABYR,10
CACFD1,60
CACHD1,925
CACNA1A,926
CACNA1B,927
CACNA1C,52
CACNA1D,928
CACNA1E,929
CACNA1G,930
CACNA1H,931
CACNA1I,932
CACNA1S,933
CACNA2D1,934
CACNA2D2,14
CACNA2D3,14
CACNA2D4,935
CACNB1,41
CACNB2,936
CACNB3,60
CACNB4,10
CACNG1,937
CACNG2,938
CACNG3,939
CACNG4,14
CACNG5,940
CACNG6,941
CACNG7,942
CACNG8,943
CACTIN,73
CACUL1,60
CACYBP,944
CAD,11
CADM1,63
CADM2,945
CADM3,946
CADM4,3
CADPS,947
CADPS2,73
CAGE1,948
CALB1,949
CALB2,950
CALCB,951
CALCOCO1,73
CALCOCO2,63
CALCR,952
CALCRL,953
CALD1,60
CALHM1,954
CALHM2,955
CALHM3,956
CALM2,4
CALM3,14
CALML3,14
CALML4,29
CALML5,957
CALML6,958
CALN1,959
CALR,63
CALR3,47
CALU,960
CALY,961
CAMK1,962
CAMK1D,60
CAMK1G,963
CAMK2A,964
CAMK2B,30
CAMK2D,965
CAMK2G,60
CAMK2N1,70
CAMK2N2,966
CAMK4,967
CAMKK1,968
CAMKK2,56
CAMKMT,37
CAMKV,969
CAMLG,30
CAMP,970
CAMSAP1,70
CAMSAP3,41
CAMTA1,14
CAMTA2,41
CAND1,52
CAND2,47
CANT1,71
CANX,73
CAP1,27
CAP2,971
CAPG,972
CAPN1,14
CAPN10,14
CAPN11,973
CAPN12,974
CAPN13,975
CAPN14,976
CAPN15,30
