dataset,alpha,delta,method,unit_fdp,heldout_exceed,pool_exceed,mean_pool_risk,pool_exceed_direct,mean_pool_risk_direct,pool_exceed_certified,m_cal,genes_with_calls,supported_genes,calls,supported_terms,supported_fraction,sd_terms
Wainberg,0.05,0.5,GoDag-cert60,0.0359,0.0,0.0,0.0359,0.0,0.0371,0.0,9477,267.33,114.86,489.22,183.14,0.3742,18.3749
Wainberg,0.1,0.1,Boger,0.0923,0.01,0.0,0.0923,0.0,0.0944,0.0,11056,560.56,185.32,1611.65,338.9,0.2102,28.0002
Wainberg,0.1,0.1,GoCo,0.0948,0.13,0.0,0.0947,0.02,0.0968,0.0,9477,567.68,195.24,1896.08,365.22,0.1928,30.5715
Wainberg,0.1,0.1,GoDag,0.0923,0.01,0.0,0.0924,0.0,0.0944,0.0,11056,561.06,185.71,1614.12,339.61,0.2103,27.7248
Wainberg,0.1,0.1,GoDag-cert60,0.0923,0.01,0.0,0.0923,0.0,0.0943,0.0,9477,561.06,185.71,1614.12,339.61,0.2103,27.7248
Wainberg,0.1,0.5,Boger,0.0923,0.01,0.0,0.0924,0.0,0.0944,0.0,11056,561.06,185.71,1614.12,339.61,0.2103,27.7248
Wainberg,0.1,0.5,GoCo,0.0964,0.2,0.08,0.0964,0.25,0.0986,0.08,9477,575.04,197.06,1955.11,369.06,0.1889,29.3887
Wainberg,0.1,0.5,GoDag,0.0923,0.01,0.0,0.0924,0.0,0.0944,0.0,11056,561.06,185.71,1614.12,339.61,0.2103,27.7248
Wainberg,0.1,0.5,GoDag-cert60,0.0923,0.01,0.0,0.0923,0.0,0.0943,0.0,9477,561.06,185.71,1614.12,339.61,0.2103,27.7248
Wainberg,0.2,0.1,Boger,0.1699,0.0,0.0,0.1702,0.0,0.1736,0.0,11056,945.08,265.42,3946.65,518.94,0.1315,33.7039
Wainberg,0.2,0.1,GoCo,0.1882,0.1,0.0,0.188,0.03,0.1913,0.0,9477,1027.7,272.35,4519.1,539.19,0.1194,34.7233
Wainberg,0.2,0.1,GoDag,0.1699,0.0,0.0,0.1702,0.0,0.1736,0.0,11056,945.08,265.42,3946.65,518.94,0.1315,33.7039
Wainberg,0.2,0.1,GoDag-cert60,0.1699,0.0,0.0,0.17,0.0,0.1734,0.0,9477,945.08,265.42,3946.65,518.94,0.1315,33.7039
Wainberg,0.2,0.5,Boger,0.1699,0.0,0.0,0.1702,0.0,0.1736,0.0,11056,945.08,265.42,3946.65,518.94,0.1315,33.7039
Wainberg,0.2,0.5,GoCo,0.1939,0.21,0.07,0.1938,0.32,0.197,0.07,9477,1054.86,272.64,4582.82,539.64,0.1178,34.7611
Wainberg,0.2,0.5,GoDag,0.1699,0.0,0.0,0.1702,0.0,0.1736,0.0,11056,945.08,265.42,3946.65,518.94,0.1315,33.7039
Wainberg,0.2,0.5,GoDag-cert60,0.1699,0.0,0.0,0.17,0.0,0.1734,0.0,9477,945.08,265.42,3946.65,518.94,0.1315,33.7039
