dataset,alpha,delta,group,unit_fdp,exceed,genes,terms,calls,term_fdp,genes_with_calls
HAP1,0.2,0.1,GoDag-dense,0.1353,0.0,95.25,160.15,1709.02,0.9063,670.21
HAP1,0.2,0.5,Boger,0.1353,0.0,95.25,160.15,1709.02,0.9063,670.21
HAP1,0.2,0.5,GoCo-dense-random1,0.1934,0.26,101.85,172.66,2548.85,0.9322,931.18
HAP1,0.2,0.5,GoCo-dense-source,0.1907,0.05,100.2,170.12,2784.56,0.9389,915.6
HAP1,0.2,0.5,GoCo-exp0,0.18,0.18,109.45,184.94,2962.17,0.9357,869.66
HAP1,0.2,0.5,GoCo-exp1,0.1938,0.31,106.05,180.16,3384.74,0.9467,929.55
HAP1,0.2,0.5,GoCo-oracle,0.1891,0.05,113.42,191.13,3467.49,0.9448,911.24
HAP1,0.2,0.5,GoCo-random,0.1941,0.1967,106.56,179.2667,2901.52,0.9382,934.7667
HAP1,0.2,0.5,GoCo-score,0.1926,0.14,102.48,172.83,2546.35,0.9321,927.08
HAP1,0.2,0.5,GoCo-source,0.1902,0.11,106.62,180.99,3356.37,0.946,913.07
HAP1,0.2,0.5,GoDag,0.1353,0.0,95.25,160.15,1709.02,0.9063,670.21
HAP1,0.2,0.5,GoDag-cert60,0.1353,0.0,95.25,160.15,1709.02,0.9063,670.21
HAP1,0.2,0.5,GoDag-dense,0.1353,0.0,95.25,160.15,1709.02,0.9063,670.21
Sanger,0.05,0.1,Boger,0.045,0.07,106.6,198.2,653.21,0.696,280.67
Sanger,0.05,0.1,GoCo-dense-random1,0.0467,0.19,111.86,209.78,691.82,0.6962,290.5
Sanger,0.05,0.1,GoCo-dense-source,0.0466,0.18,111.76,209.86,693.82,0.6967,289.74
Sanger,0.05,0.1,GoCo-exp0,0.0461,0.15,110.56,206.52,682.12,0.6966,287.05
Sanger,0.05,0.1,GoCo-exp1,0.0463,0.12,110.95,208.11,690.24,0.6977,287.95
Sanger,0.05,0.1,GoCo-oracle,0.0458,0.11,115.69,218.87,727.73,0.6961,289.03
Sanger,0.05,0.1,GoCo-random,0.0466,0.14,111.19,207.5633,685.9633,0.6968,289.8167
Sanger,0.05,0.1,GoCo-score,0.0466,0.17,111.01,208.45,687.7,0.6963,289.66
Sanger,0.05,0.1,GoCo-source,0.0463,0.11,111.04,208.47,691.38,0.6976,287.97
Sanger,0.05,0.1,GoDag,0.0461,0.11,109.61,203.91,674.39,0.6978,286.42
Sanger,0.05,0.1,GoDag-cert60,0.0459,0.1,109.22,203.21,670.47,0.6964,285.26
Sanger,0.05,0.1,GoDag-dense,0.0466,0.19,111.53,208.97,690.04,0.6972,289.94
Sanger,0.05,0.5,Boger,0.0474,0.31,113.54,212.06,700.76,0.6975,294.62
Sanger,0.05,0.5,GoCo-dense-random1,0.0496,0.49,118.16,225.48,760.62,0.7032,306.95
Sanger,0.05,0.5,GoCo-dense-source,0.0495,0.48,118.39,229.61,799.35,0.7112,306.34
Sanger,0.05,0.5,GoCo-exp0,0.0487,0.44,116.93,222.41,751.85,0.704,301.7
Sanger,0.05,0.5,GoCo-exp1,0.0493,0.43,117.0,223.88,796.66,0.717,304.44
Sanger,0.05,0.5,GoCo-oracle,0.0484,0.34,123.68,243.78,937.24,0.7365,303.71
Sanger,0.05,0.5,GoCo-random,0.0494,0.4667,116.8833,219.9267,744.2,0.7042,305.3833
Sanger,0.05,0.5,GoCo-score,0.0494,0.48,117.9,226.02,752.91,0.6997,306.15
Sanger,0.05,0.5,GoCo-source,0.0492,0.43,117.21,224.68,798.68,0.7169,304.19
Sanger,0.05,0.5,GoDag,0.0484,0.31,116.26,218.2,720.95,0.6974,300.73
Sanger,0.05,0.5,GoDag-cert60,0.0482,0.31,115.7,216.95,716.6,0.6975,299.47
Sanger,0.05,0.5,GoDag-dense,0.0491,0.41,118.01,225.66,744.61,0.6971,304.54
Sanger,0.1,0.1,Boger,0.0913,0.01,150.65,315.81,1751.3,0.8193,497.2
Sanger,0.1,0.1,GoCo-dense-random1,0.0952,0.19,155.11,332.62,1928.84,0.8274,514.99
Sanger,0.1,0.1,GoCo-dense-source,0.0942,0.19,154.77,330.43,1934.46,0.8291,510.22
