dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval,exceed
DRIVE,1,0.05,0.5,GoDag-cert60,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-source,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-random1,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-random2,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-random3,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-score,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-oracle,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-exp0,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-exp1,global_475,0.0205594184741839,0.0435074292222131,0.1951917746962982,0.0384502854208098,37,79.0,260.0,99,0.6961538461538461,0.0396881280590431,71.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-dense-source,global_453.388,0.2876952313371842,0.0481272347054051,0.2052886060381968,0.044108994538335,39,81.0,277.0,111,0.7075812274368231,0.0453468371765683,73.0,0,0.0
DRIVE,1,0.05,0.5,GoCo-dense-random1,global_453.388,0.2876952313371842,0.0481272347054051,0.2052886060381968,0.044108994538335,39,81.0,277.0,111,0.7075812274368231,0.0453468371765683,73.0,0,0.0
DRIVE,1,0.1,0.1,Boger,global_275,0.0162357513540453,0.0911409007101614,0.2747237462218952,0.0897005822677511,76,169.0,1392.0,200,0.8785919540229885,0.0910314545074887,149.0,0,0.0
DRIVE,1,0.1,0.1,GoDag,global_250,0.0307730420557244,0.0922648323366944,0.2743846688727631,0.0960700039996392,89,198.0,1720.0,210,0.8848837209302326,0.0975498668711128,172.0,0,0.0
DRIVE,1,0.1,0.1,GoDag-dense,global_241.73,0.0883471932684711,0.0943579631042296,0.276953677032849,0.0969226336605669,92,209.0,1859.0,212,0.8875739644970414,0.0983970301695148,181.0,0,0.0
DRIVE,1,0.1,0.1,GoDag-cert60,global_250,0.0892806505872172,0.0939285545474022,0.2771255441993218,0.0960700039996392,89,198.0,1720.0,210,0.8848837209302326,0.0975498668711128,172.0,0,0.0
DRIVE,1,0.1,0.1,GoCo-source,adapt_250_to_225_q0.35,0.0834330453592547,0.0937711348781851,0.2766708846100473,0.0958388558591392,90,203.0,1780.0,210,0.8859550561797753,0.0973376652922491,176.0,7,0.0
DRIVE,1,0.1,0.1,GoCo-random1,adapt_250_to_225_q0.1,0.0974183609827984,0.0941436817182786,0.2773673654319771,0.0961400489117802,89,199.0,1727.0,210,0.8847712796757383,0.0976681394033153,172.0,3,0.0
DRIVE,1,0.1,0.1,GoCo-random2,adapt_250_to_225_q0.04,0.0911973382511109,0.0939790787328459,0.2772472950346979,0.0960700039996392,89,198.0,1734.0,210,0.8858131487889274,0.0975498668711128,172.0,1,0.0
DRIVE,1,0.1,0.1,GoCo-random3,adapt_250_to_225_q0.05,0.0887806776249664,0.0939144093691512,0.2771317710997173,0.0960998974681216,90,201.0,1744.0,210,0.8847477064220184,0.0975193418305495,175.0,10,0.0
DRIVE,1,0.1,0.1,GoCo-score,adapt_250_to_225_q0.04,0.0892806505872182,0.0939285545474022,0.2771255441993231,0.0960700039996392,89,198.0,1720.0,210,0.8848837209302326,0.0975498668711128,172.0,0,0.0
