dataset,repeat,n_calls_T,auc_score_T,auc_phat_T,auc_score_E,auc_phat_E
DRIVE,55,3063,0.6039510572320843,0.5074032408197886,0.6030366996501887,0.5562504689779696
DRIVE,56,3157,0.6226254148630033,0.5155907600143149,0.6005428566731563,0.6285903874027959
DRIVE,57,2673,0.5765537984659032,0.4936945541061859,0.6057728037354105,0.5060480289687944
DRIVE,58,2565,0.6403040363577439,0.6872105380177342,0.599222782099489,0.5867675156165162
DRIVE,59,2365,0.5874083484573502,0.4227513611615245,0.6044146422309348,0.46402787147016544
DRIVE,60,3130,0.5695819469815588,0.5547799234516354,0.607091488797879,0.5251628530008894
DRIVE,61,2971,0.649885341820355,0.5202875488165886,0.5970817057674659,0.5968417833695824
DRIVE,62,3237,0.583579300804034,0.5924541880520592,0.6055952961883782,0.5712216325519205
DRIVE,63,2463,0.6085355800377239,0.5810222624450607,0.6025516621667745,0.573212795759722
DRIVE,64,2649,0.6570622586534459,0.526991662854576,0.5980697197625124,0.5465648546842953
DRIVE,65,2614,0.5936095028883964,0.5765072818332031,0.6043546335065537,0.5518823956540447
DRIVE,66,2680,0.5815368234250222,0.48984649511978706,0.6055317229523328,0.5308007098364853
DRIVE,67,2791,0.6274315344341522,0.5312243254128071,0.6006010701841009,0.5323629053713892
DRIVE,68,2621,0.6183119305916674,0.5072070456630137,0.6012274930670565,0.5781846766197054
DRIVE,69,3235,0.5780436443015924,0.640006192219007,0.6063730324068378,0.6580055161394469
DRIVE,70,2747,0.6578209094570351,0.6928576441010996,0.5962208923427506,0.6260444788971369
DRIVE,71,2700,0.6135470664542597,0.5469406422194604,0.6019276178918294,0.5794930774621855
DRIVE,72,3054,0.5674889330852634,0.4885473471482646,0.60696195497989,0.5810917969123062
DRIVE,73,2016,0.5940902244854048,0.422108584953023,0.6039778641618856,0.5438206543288602
DRIVE,74,2555,0.6449750269047159,0.40444489559393393,0.5988125375637005,0.5667409203169745
DRIVE,75,3033,0.5574031805704738,0.5650674304809643,0.6082082507139172,0.5743439867333996
DRIVE,76,2534,0.595864623503146,0.4486638251809756,0.6036966789055432,0.6276864780962328
DRIVE,77,3358,0.6167123979101449,0.5890910848238496,0.6011572612780359,0.5363836340595777
DRIVE,78,2688,0.5968441125550317,0.5035822439593061,0.603676392076751,0.614273644426012
DRIVE,79,3002,0.5806639965255995,0.43679417624309774,0.6060218138814619,0.5397670124686952
DRIVE,80,2607,0.6881308259377348,0.5647570114335615,0.5947189539597592,0.5809486151691741
DRIVE,81,2561,0.658423879821505,0.48069296717403265,0.5971128257291012,0.4968949477348597
DRIVE,82,2864,0.6441407743866029,0.44208873710977076,0.5986994491717023,0.5753851687425494
DRIVE,83,2893,0.6106237864314499,0.5286353391161805,0.602331274906684,0.5970567654303114
DRIVE,84,2629,0.6127592330123975,0.5439291008911262,0.6013866899279234,0.5799782115580979
DRIVE,85,2736,0.5688121848166826,0.5691667660487938,0.6059223013201073,0.5483406377244225
DRIVE,86,2687,0.542688808571783,0.4694348050575762,0.609085006414242,0.531719995584596
DRIVE,87,3426,0.5991123739300935,0.5982237205151988,0.6032941297256514,0.503260129054267
DRIVE,88,3278,0.6201590244185036,0.5558637237011075,0.6008229735747552,0.5991986827802781
DRIVE,89,2475,0.6192637050266292,0.5534530725799852,0.6009060968319869,0.5709092793261913
DRIVE,90,2283,0.6722275724903172,0.6333528734428975,0.5957203276979955,0.6395328583675571
DRIVE,91,2532,0.6403313019518148,0.5236579834061202,0.5992643924450503,0.5821887161188577
DRIVE,92,2454,0.5592201897637077,0.4359638719094973,0.6071028130912132,0.43927580087875634
DRIVE,93,2726,0.5992221233165388,0.5162693048251789,0.6035244976709696,0.5773844574239725
DRIVE,94,3264,0.5750141858798232,0.4577723688926054,0.6064435005578305,0.5210081804279304
DRIVE,95,2613,0.6115916333444706,0.6059538051971848,0.6023202308045338,0.5638362905684445
