dataset,repeat,rule,label,fdp,correct,total,units,supp_units,fmax,prec,rec
Wainberg,48,Top-3,top3,0.22073308006191084,368.0,2668.0,1202,233,,,
Wainberg,49,Fmax,score>=911.135,0.06982125341892242,295.0,1067.0,458,173,0.3191029854020531,0.2489777180685926,0.44421830848679733
Wainberg,49,Fmax-full,score>=601.638,0.2327565997838974,603.0,5116.0,1253,309,0.001911881921130618,0.10841549834032145,0.0009644448400002217
Wainberg,49,Floor,score>=600.821,0.2327565997838974,603.0,5116.0,1253,309,,,
Wainberg,49,Top-1,top1,0.22477838750527648,188.0,1253.0,1253,188,,,
Wainberg,49,Top-3,top3,0.22945687350499508,389.0,2805.0,1253,261,,,
Wainberg,50,Fmax,score>=911.135,0.07108744233846664,314.0,1025.0,465,172,0.3157544807647592,0.24967453647667254,0.4294018287008942
Wainberg,50,Fmax-full,score>=601.638,0.22716179490089417,611.0,4899.0,1219,289,0.0019718912167171697,0.10972962985381238,0.0009948848745733234
Wainberg,50,Floor,score>=600.821,0.22716179490089417,611.0,4901.0,1219,289,,,
Wainberg,50,Top-1,top1,0.21865766146053187,183.0,1219.0,1219,183,,,
Wainberg,50,Top-3,top3,0.22301955818207403,394.0,2773.0,1219,253,,,
Wainberg,51,Fmax,score>=911.135,0.07154959440231323,301.0,1100.0,463,165,0.3187402603949035,0.25313309988577787,0.43025359819745246
Wainberg,51,Fmax-full,score>=601.638,0.2293447107076645,576.0,4926.0,1228,272,0.0019905581089083722,0.11053683495992271,0.001004322018907695
Wainberg,51,Floor,score>=600.821,0.2293447107076645,576.0,4927.0,1228,272,,,
Wainberg,51,Top-1,top1,0.22119037568594344,180.0,1228.0,1228,180,,,
Wainberg,51,Top-3,top3,0.22548191923455752,383.0,2740.0,1228,239,,,
Wainberg,52,Fmax,score>=911.135,0.07037637382745743,296.0,1013.0,465,171,0.3120708954366651,0.2465110528077318,0.4251362834696169
Wainberg,52,Fmax-full,score>=601.638,0.22351643443107605,586.0,4869.0,1203,283,0.0019406586247030018,0.10868997888250666,0.0009790699551048487
Wainberg,52,Floor,score>=600.821,0.22351643443107605,586.0,4872.0,1203,283,,,
Wainberg,52,Top-1,top1,0.2154917686787674,182.0,1203.0,1203,182,,,
Wainberg,52,Top-3,top3,0.2205923737160546,383.0,2696.0,1203,238,,,
Wainberg,53,Fmax,score>=911.135,0.07635191082954407,311.0,1107.0,502,189,0.30692997561587015,0.24693225608261643,0.4054409245998031
Wainberg,53,Fmax-full,score>=601.638,0.2385123074054718,569.0,5034.0,1273,289,0.001988074977245237,0.11173679424288573,0.0010029600634053626
Wainberg,53,Floor,score>=600.821,0.2385123074054718,569.0,5036.0,1273,289,,,
Wainberg,53,Top-1,top1,0.22857745884339384,190.0,1273.0,1273,190,,,
Wainberg,53,Top-3,top3,0.23445194878289013,395.0,2841.0,1273,252,,,
Wainberg,54,Fmax,score>=1076.8,0.03427924960851669,193.0,498.0,267,119,0.3185851392027283,0.34963417053222656,0.2926009089560491
Wainberg,54,Fmax-full,score>=601.638,0.22405564785003662,579.0,4884.0,1202,289,0.0019550301011822028,0.10987304519878562,0.00098628984302594
Wainberg,54,Floor,score>=600.821,0.22405564785003662,579.0,4885.0,1202,289,,,
Wainberg,54,Top-1,top1,0.2165470662726889,176.0,1202.0,1202,176,,,
Wainberg,54,Top-3,top3,0.2206979034754467,373.0,2691.0,1202,243,,,
Wainberg,55,Fmax,score>=1116.68,0.03859449550509453,220.0,541.0,295,135,0.31051319354804896,0.35570485296855403,0.27551012902954664
Wainberg,55,Fmax-full,score>=601.638,0.2289850413799286,653.0,5107.0,1245,313,0.0018735907083714508,0.10467443167124892,0.0009452550180722412
Wainberg,55,Floor,score>=600.821,0.2289850413799286,653.0,5107.0,1245,313,,,
Wainberg,55,Top-1,top1,0.21992401857323765,203.0,1245.0,1245,203,,,
Wainberg,55,Top-3,top3,0.22453215140002816,444.0,2832.0,1245,279,,,
Wainberg,56,Fmax,score>=911.135,0.07455271482467651,253.0,1038.0,459,147,0.33561588342227644,0.26920803721879377,0.44551483301483297
Wainberg,56,Fmax-full,score>=601.638,0.23552681505680084,525.0,4937.0,1242,265,0.002039214032957938,0.11639766513865624,0.0010286173819242974
Wainberg,56,Floor,score>=600.821,0.23552681505680084,525.0,4938.0,1242,265,,,
Wainberg,56,Top-1,top1,0.22731110173068805,165.0,1242.0,1242,165,,,
Wainberg,56,Top-3,top3,0.2323061770085831,345.0,2782.0,1242,230,,,
Wainberg,57,Fmax,score>=1076.8,0.036219239234924316,193.0,502.0,271,116,0.3197254711469403,0.3599960759000958,0.2875580720092916
Wainberg,57,Fmax-full,score>=601.638,0.23560981452465057,581.0,4975.0,1252,275,0.00202399773036398,0.11344880354891612,0.0010211074636165538
Wainberg,57,Floor,score>=600.821,0.23560981452465057,581.0,4976.0,1252,275,,,
