dataset,repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units
Wainberg,22,0.1,0.5,goco-N,top3512,0.10505883474435605,0.10131666141339023,266,1182,622,162
Wainberg,22,0.1,0.1,goco-N,top3087,0.09337669037964522,0.08898679524251105,258,1052,568,158
Wainberg,22,0.2,0.5,goco-N,top9843,0.20478665439630223,0.2004450666237457,445,3097,1119,254
Wainberg,22,0.2,0.1,goco-N,top8653,0.19139361939594104,0.1887072643228113,412,2747,1052,234
Wainberg,23,0.05,0.5,goco-N,top2097,0.05120587927151878,0.04989306410164659,209,697,328,108
Wainberg,23,0.05,0.1,goco-N,top1844,0.043341567091039444,0.04240300345295069,199,606,290,105
Wainberg,23,0.1,0.5,goco-N,top3512,0.08608403579910545,0.08358705643440079,235,1159,501,125
Wainberg,23,0.1,0.1,goco-N,top3512,0.08608403579910545,0.08358705643440079,235,1159,501,125
Wainberg,23,0.2,0.5,goco-N,top11197,0.18891772294579232,0.18798763112195657,433,3474,1018,213
Wainberg,23,0.2,0.1,goco-N,top11197,0.18891772294579232,0.18798763112195657,433,3474,1018,213
Wainberg,24,0.05,0.5,goco-N,top1844,0.04661450481416712,0.04684022020110659,190,593,312,110
Wainberg,24,0.05,0.1,goco-N,top1844,0.04661450481416712,0.04684022020110659,190,593,312,110
Wainberg,24,0.1,0.5,goco-N,top5169,0.0966317080003179,0.09851444891680282,286,1548,565,157
Wainberg,24,0.1,0.1,goco-N,top4544,0.08571584221828052,0.08779959879355875,277,1362,514,155
Wainberg,24,0.2,0.5,goco-N,top12736,0.1888637271128822,0.18877613480027,460,3663,1023,237
Wainberg,24,0.2,0.1,goco-N,top12736,0.1888637271128822,0.18877613480027,460,3663,1023,237
Wainberg,25,0.05,0.5,goco-N,top1621,0.04363655550865344,0.0451090397467464,134,465,287,95
Wainberg,25,0.05,0.1,goco-N,top1621,0.04363655550865344,0.0451090397467464,134,465,287,95
Wainberg,25,0.1,0.5,goco-N,top2714,0.08950154776980443,0.0913402453254722,153,815,511,108
Wainberg,25,0.1,0.1,goco-N,top2714,0.08950154776980443,0.0913402453254722,153,815,511,108
Wainberg,25,0.2,0.5,goco-N,top8653,0.19353493874916416,0.19272601293767833,306,2664,1029,185
Wainberg,25,0.2,0.1,goco-N,top8653,0.19353493874916416,0.19272601293767833,306,2664,1029,185
Wainberg,26,0.05,0.5,goco-N,top1621,0.046361735914289735,0.04433194311843625,151,538,298,92
Wainberg,26,0.05,0.1,goco-N,top1621,0.046361735914289735,0.04433194311843625,151,538,298,92
Wainberg,26,0.1,0.5,goco-N,top3087,0.09974854070464033,0.0996033598636483,196,991,568,118
Wainberg,26,0.1,0.1,goco-N,top2714,0.08789403106625562,0.08826026496269197,190,876,510,115
Wainberg,26,0.2,0.5,goco-N,top8653,0.19292553923727415,0.19201402673615126,347,2654,1034,194
Wainberg,26,0.2,0.1,goco-N,top8653,0.19292553923727415,0.19201402673615126,347,2654,1034,194
Wainberg,27,0.05,0.5,goco-N,top1844,0.04505768960180104,0.04641157060784215,165,561,294,101
Wainberg,27,0.05,0.1,goco-N,top1844,0.04505768960180104,0.04641157060784215,165,561,294,101
Wainberg,27,0.1,0.5,goco-N,top3512,0.09881672663437119,0.09866500287534406,231,1084,577,147
Wainberg,27,0.1,0.1,goco-N,top3087,0.08693524827969741,0.08822035743597476,215,951,514,138
Wainberg,27,0.2,0.5,goco-N,top8653,0.18262656566265684,0.18438883623899452,350,2616,987,203
Wainberg,27,0.2,0.1,goco-N,top8653,0.18262656566265684,0.18438883623899452,350,2616,987,203
Wainberg,28,0.05,0.5,goco-N,top1844,0.05372804813497089,0.05077921824140607,173,606,333,92
Wainberg,28,0.05,0.1,goco-N,top1621,0.04339668469047954,0.041004165061498864,158,523,281,86
Wainberg,28,0.1,0.5,goco-N,top2714,0.08926862851514603,0.08654897297176578,186,886,509,103
Wainberg,28,0.1,0.1,goco-N,top2714,0.08926862851514603,0.08654897297176578,186,886,509,103
Wainberg,28,0.2,0.5,goco-N,top7607,0.20129653131447137,0.19663022032877817,318,2470,1078,186
Wainberg,28,0.2,0.1,goco-N,top7607,0.20129653131447137,0.19663022032877817,318,2470,1078,186
Wainberg,29,0.05,0.5,goco-N,top1621,0.04164620028908758,0.041647233448147976,169,504,270,86
Wainberg,29,0.05,0.1,goco-N,top1621,0.04164620028908758,0.041647233448147976,169,504,270,86
Wainberg,29,0.1,0.5,goco-N,top3087,0.09466655946183174,0.09685400346321907,212,963,532,110
Wainberg,29,0.1,0.1,goco-N,top2714,0.0818059994505752,0.08368079608670533,203,856,470,106
Wainberg,29,0.2,0.5,goco-N,top9843,0.2011631654307889,0.19847956514505932,375,3032,1064,199
Wainberg,29,0.2,0.1,goco-N,top8653,0.18813357975451686,0.1872627962181251,338,2678,998,183
Wainberg,30,0.05,0.5,goco-N,top1844,0.04809041387766588,0.04824238312982597,176,607,312,100
Wainberg,30,0.05,0.1,goco-N,top1621,0.04361011508542112,0.044676127600855,158,528,283,90
Wainberg,30,0.1,0.5,goco-N,top4544,0.0989535278100851,0.09934105433559309,260,1429,565,141
Wainberg,30,0.1,0.1,goco-N,top3994,0.09442087156312567,0.09316735185711618,252,1298,547,137
Wainberg,30,0.2,0.5,goco-N,top12736,0.20399259295030034,0.20039964756111472,451,3752,1085,218
Wainberg,30,0.2,0.1,goco-N,top11197,0.18392510100082732,0.18257936847876574,418,3308,991,213
Wainberg,31,0.05,0.5,goco-N,top1844,0.04069366096592775,0.043630801492939665,197,602,263,95
Wainberg,31,0.05,0.1,goco-N,top1844,0.04069366096592775,0.043630801492939665,197,602,263,95
Wainberg,31,0.1,0.5,goco-N,top3994,0.08973079327923145,0.09565402478155162,249,1299,512,130
Wainberg,31,0.1,0.1,goco-N,top3512,0.07739851021826538,0.08201309942325026,242,1148,451,124
Wainberg,31,0.2,0.5,goco-N,top11197,0.18068528079913368,0.1851448859463675,402,3377,963,209
Wainberg,31,0.2,0.1,goco-N,top11197,0.18068528079913368,0.1851448859463675,402,3377,963,209
Wainberg,32,0.05,0.5,goco-N,top2097,0.05162180814354727,0.048990843056970386,196,705,320,103
Wainberg,32,0.05,0.1,goco-N,top1844,0.04430398935992012,0.04135378456693969,177,615,278,94
Wainberg,32,0.1,0.5,goco-N,top3512,0.10644139641606927,0.10066042762490177,243,1172,601,137
Wainberg,32,0.1,0.1,goco-N,top3087,0.09220109190560856,0.08865576269199203,231,1024,529,127
Wainberg,32,0.2,0.5,goco-N,top9843,0.2072233298805692,0.1991985210240574,385,3077,1106,222
Wainberg,32,0.2,0.1,goco-N,top8653,0.1959619530720206,0.18783126466295655,369,2725,1054,212
Wainberg,33,0.05,0.5,goco-N,top1844,0.04434159480592575,0.044190074200626435,164,574,292,102
Wainberg,33,0.05,0.1,goco-N,top1844,0.04434159480592575,0.044190074200626435,164,574,292,102
Wainberg,33,0.1,0.5,goco-N,top5879,0.1022347311709912,0.10016589263577956,301,1877,584,159
Wainberg,33,0.1,0.1,goco-N,top5169,0.09144264259027873,0.09064238096896719,283,1639,532,152
Wainberg,33,0.2,0.5,goco-N,top12736,0.18817415502003126,0.18831151257647946,462,3928,1013,228
Wainberg,33,0.2,0.1,goco-N,top12736,0.18817415502003126,0.18831151257647946,462,3928,1013,228
Wainberg,34,0.05,0.5,goco-N,top1844,0.041616642819682075,0.04463395829558334,158,554,268,91
Wainberg,34,0.05,0.1,goco-N,top1844,0.041616642819682075,0.04463395829558334,158,554,268,91
Wainberg,34,0.1,0.5,goco-N,top4544,0.09150842532543672,0.09430439533499681,260,1308,537,148
Wainberg,34,0.1,0.1,goco-N,top4544,0.09150842532543672,0.09430439533499681,260,1308,537,148
Wainberg,34,0.2,0.5,goco-N,top11197,0.17942296869069016,0.18515139107565007,425,3256,969,223
Wainberg,34,0.2,0.1,goco-N,top11197,0.17942296869069016,0.18515139107565007,425,3256,969,223
Wainberg,35,0.05,0.5,goco-N,top1621,0.03826056805161913,0.04136154266650222,166,491,264,100
Wainberg,35,0.05,0.1,goco-N,top1621,0.03826056805161913,0.04136154266650222,166,491,264,100
Wainberg,35,0.1,0.5,goco-N,top3087,0.09276233358124451,0.09340088234741768,216,993,545,136
Wainberg,35,0.1,0.1,goco-N,top3087,0.09276233358124451,0.09340088234741768,216,993,545,136
Wainberg,35,0.2,0.5,goco-N,top9843,0.1942941532694593,0.19501510719181575,413,3018,1051,223
Wainberg,35,0.2,0.1,goco-N,top8653,0.18200186029438875,0.18188358413384795,388,2686,995,218
Wainberg,36,0.05,0.5,goco-N,top2097,0.04447074313051519,0.046693568030805,155,602,276,91
Wainberg,36,0.05,0.1,goco-N,top1844,0.039316535675758976,0.04116054483634298,150,535,252,89
Wainberg,36,0.1,0.5,goco-N,top4544,0.08264371995904288,0.08798382629557239,208,1337,471,127
Wainberg,36,0.1,0.1,goco-N,top4544,0.08264371995904288,0.08798382629557239,208,1337,471,127
Wainberg,36,0.2,0.5,goco-N,top12736,0.18076046796281198,0.1898723901949783,433,3762,974,226
Wainberg,36,0.2,0.1,goco-N,top12736,0.18076046796281198,0.1898723901949783,433,3762,974,226
Wainberg,37,0.05,0.5,goco-N,top1844,0.05142069833922937,0.048984381195074124,183,615,333,111
Wainberg,37,0.05,0.1,goco-N,top1621,0.04422306622602106,0.04217883515632372,171,538,295,103
Wainberg,37,0.1,0.5,goco-N,top3087,0.0939925242901182,0.09728873200118365,200,969,543,126
Wainberg,37,0.1,0.1,goco-N,top2714,0.08265661804074637,0.08549612754853697,197,852,488,123
Wainberg,37,0.2,0.5,goco-N,top9843,0.19632471632979848,0.19775405365380472,385,3097,1057,214
Wainberg,37,0.2,0.1,goco-N,top8653,0.1838913166263703,0.18424648014839667,335,2722,990,189
Wainberg,38,0.05,0.5,goco-N,top1844,0.03850605037287182,0.04223797697592984,137,525,242,79
Wainberg,38,0.05,0.1,goco-N,top1844,0.03850605037287182,0.04223797697592984,137,525,242,79
Wainberg,38,0.1,0.5,goco-N,top3994,0.09269959555945204,0.09661930382120322,199,1187,516,118
Wainberg,38,0.1,0.1,goco-N,top3512,0.07925938209813263,0.08498020758309187,190,1033,452,114
Wainberg,38,0.2,0.5,goco-N,top11197,0.18771337186424772,0.18923974711803998,390,3144,993,196
Wainberg,38,0.2,0.1,goco-N,top11197,0.18771337186424772,0.18923974711803998,390,3144,993,196
Wainberg,39,0.05,0.5,goco-N,top2097,0.045354261727203894,0.047393849555298725,202,660,306,118
Wainberg,39,0.05,0.1,goco-N,top1844,0.0404468766541371,0.04276211692321435,193,586,281,113
Wainberg,39,0.1,0.5,goco-N,top3994,0.09430599564358534,0.09366305685950428,231,1258,540,135
Wainberg,39,0.1,0.1,goco-N,top3994,0.09430599564358534,0.09366305685950428,231,1258,540,135
Wainberg,39,0.2,0.5,goco-N,top11197,0.17826853019678107,0.18496884206943132,439,3444,964,225
Wainberg,39,0.2,0.1,goco-N,top11197,0.17826853019678107,0.18496884206943132,439,3444,964,225
Wainberg,40,0.05,0.5,goco-N,top1844,0.048562669214843125,0.04924062044181636,144,546,299,88
Wainberg,40,0.05,0.1,goco-N,top1621,0.04504562905787051,0.04421395952700912,134,496,276,79
Wainberg,40,0.1,0.5,goco-N,top3512,0.09116638134156074,0.09501042958016744,179,1027,509,105
Wainberg,40,0.1,0.1,goco-N,top3087,0.08510604177024607,0.08836824521198938,173,911,480,101
Wainberg,40,0.2,0.5,goco-N,top9843,0.19071180272343743,0.18992872353509493,321,2908,1018,188
Wainberg,40,0.2,0.1,goco-N,top9843,0.19071180272343743,0.18992872353509493,321,2908,1018,188
Wainberg,41,0.05,0.5,goco-N,top1621,0.044786829886027855,0.0462110781702762,138,494,296,102
Wainberg,41,0.05,0.1,goco-N,top1621,0.044786829886027855,0.0462110781702762,138,494,296,102
Wainberg,41,0.1,0.5,goco-N,top3087,0.0916214782825167,0.09035959838808942,199,981,544,142
Wainberg,41,0.1,0.1,goco-N,top3087,0.0916214782825167,0.09035959838808942,199,981,544,142
Wainberg,41,0.2,0.5,goco-N,top9843,0.19662091825520717,0.19328094821796765,412,3152,1067,235
Wainberg,41,0.2,0.1,goco-N,top9843,0.19662091825520717,0.19328094821796765,412,3152,1067,235
Wainberg,42,0.05,0.5,goco-N,top1844,0.043050549656712594,0.043723685761470156,181,603,280,94
Wainberg,42,0.05,0.1,goco-N,top1844,0.043050549656712594,0.043723685761470156,181,603,280,94
Wainberg,42,0.1,0.5,goco-N,top3512,0.09127614213093319,0.09495612711211504,211,1142,514,112
Wainberg,42,0.1,0.1,goco-N,top3087,0.07770602011843042,0.08124513242258583,202,1000,445,106
Wainberg,42,0.2,0.5,goco-N,top11197,0.19421704668597747,0.195909607696164,401,3374,1041,211
Wainberg,42,0.2,0.1,goco-N,top9843,0.1806346012577545,0.18239915902782064,378,2988,973,196
Wainberg,43,0.05,0.5,goco-N,top2097,0.0505031926939905,0.049267130259040205,154,619,311,87
Wainberg,43,0.05,0.1,goco-N,top1844,0.04148039826596179,0.04173031918205824,149,531,265,82
Wainberg,43,0.1,0.5,goco-N,top3512,0.09064235797034446,0.09348491759149516,171,1078,502,97
Wainberg,43,0.1,0.1,goco-N,top3512,0.09064235797034446,0.09348491759149516,171,1078,502,97
Wainberg,43,0.2,0.5,goco-N,top11197,0.19124385207033132,0.19097151883974328,367,3470,1017,195
Wainberg,43,0.2,0.1,goco-N,top11197,0.19124385207033132,0.19097151883974328,367,3470,1017,195
Wainberg,44,0.05,0.5,goco-N,top1621,0.05217625814924253,0.0484245216435736,139,516,323,95
Wainberg,44,0.05,0.1,goco-N,top1621,0.05217625814924253,0.0484245216435736,139,516,323,95
Wainberg,44,0.1,0.5,goco-N,top2714,0.0946635443258491,0.09381687033525399,171,868,541,119
