dataset,repeat,alpha,K,yield_M_T,yield_N_T,choose_N
Sanger,29,0.05,10,59,147,1
Sanger,29,0.1,10,151,238,1
Sanger,29,0.2,10,536,581,1
Sanger,30,0.05,10,69,80,1
Sanger,30,0.1,10,135,169,1
Sanger,30,0.2,10,526,487,0
Sanger,31,0.05,10,80,195,1
Sanger,31,0.1,10,145,262,1
Sanger,31,0.2,10,461,528,1
Sanger,32,0.05,10,77,108,1
Sanger,32,0.1,10,130,159,1
Sanger,32,0.2,10,483,526,1
Sanger,33,0.05,10,69,99,1
Sanger,33,0.1,10,96,170,1
Sanger,33,0.2,10,490,495,1
Sanger,34,0.05,10,109,131,1
Sanger,34,0.1,10,166,208,1
Sanger,34,0.2,10,506,581,1
Sanger,35,0.05,10,66,93,1
Sanger,35,0.1,10,106,169,1
Sanger,35,0.2,10,391,417,1
Sanger,36,0.05,10,76,88,1
Sanger,36,0.1,10,153,182,1
Sanger,36,0.2,10,509,492,0
Sanger,37,0.05,10,64,107,1
Sanger,37,0.1,10,111,152,1
Sanger,37,0.2,10,590,494,0
Sanger,38,0.05,10,87,132,1
Sanger,38,0.1,10,171,203,1
Sanger,38,0.2,10,532,574,1
Sanger,39,0.05,10,108,106,0
Sanger,39,0.1,10,140,197,1
Sanger,39,0.2,10,439,498,1
Sanger,40,0.05,10,85,151,1
Sanger,40,0.1,10,153,224,1
Sanger,40,0.2,10,576,555,0
Sanger,41,0.05,10,61,88,1
Sanger,41,0.1,10,108,157,1
Sanger,41,0.2,10,415,495,1
Sanger,42,0.05,10,59,71,1
Sanger,42,0.1,10,102,146,1
Sanger,42,0.2,10,442,475,1
Sanger,43,0.05,10,91,177,1
Sanger,43,0.1,10,150,219,1
Sanger,43,0.2,10,488,463,0
Sanger,44,0.05,10,70,134,1
Sanger,44,0.1,10,119,188,1
Sanger,44,0.2,10,405,443,1
Sanger,45,0.05,10,63,102,1
Sanger,45,0.1,10,96,147,1
Sanger,45,0.2,10,387,356,0
Sanger,46,0.05,10,86,141,1
Sanger,46,0.1,10,129,207,1
Sanger,46,0.2,10,455,418,0
Sanger,47,0.05,10,96,148,1
Sanger,47,0.1,10,176,274,1
Sanger,47,0.2,10,497,555,1
Sanger,48,0.05,10,65,131,1
Sanger,48,0.1,10,126,197,1
Sanger,48,0.2,10,499,486,0
Sanger,49,0.05,10,77,88,1
Sanger,49,0.1,10,114,125,1
Sanger,49,0.2,10,481,467,0
Sanger,50,0.05,10,71,90,1
Sanger,50,0.1,10,123,158,1
Sanger,50,0.2,10,557,485,0
Sanger,51,0.05,10,78,98,1
Sanger,51,0.1,10,129,192,1
Sanger,51,0.2,10,437,501,1
Sanger,52,0.05,10,88,111,1
Sanger,52,0.1,10,153,173,1
Sanger,52,0.2,10,506,464,0
Sanger,53,0.05,10,72,92,1
Sanger,53,0.1,10,113,139,1
Sanger,53,0.2,10,411,440,1
Sanger,54,0.05,10,74,114,1
Sanger,54,0.1,10,130,161,1
Sanger,54,0.2,10,548,508,0
Sanger,55,0.05,10,79,73,0
Sanger,55,0.1,10,126,156,1
Sanger,55,0.2,10,410,466,1
Sanger,56,0.05,10,86,104,1
Sanger,56,0.1,10,132,172,1
Sanger,56,0.2,10,517,566,1
Sanger,57,0.05,10,53,84,1
Sanger,57,0.1,10,106,139,1
Sanger,57,0.2,10,397,456,1
Sanger,58,0.05,10,69,152,1
Sanger,58,0.1,10,126,217,1
Sanger,58,0.2,10,545,537,0
Sanger,59,0.05,10,77,97,1
Sanger,59,0.1,10,121,175,1
Sanger,59,0.2,10,478,457,0
Sanger,60,0.05,10,73,78,1
Sanger,60,0.1,10,110,113,1
Sanger,60,0.2,10,500,468,0
Sanger,61,0.05,10,83,128,1
Sanger,61,0.1,10,130,206,1
Sanger,61,0.2,10,576,551,0
Sanger,62,0.05,10,87,67,0
Sanger,62,0.1,10,116,118,1
Sanger,62,0.2,10,407,488,1
Sanger,63,0.05,10,76,83,1
Sanger,63,0.1,10,106,169,1
Sanger,63,0.2,10,429,455,1
Sanger,64,0.05,10,90,107,1
Sanger,64,0.1,10,126,173,1
Sanger,64,0.2,10,370,394,1
Sanger,65,0.05,10,67,114,1
Sanger,65,0.1,10,137,182,1
Sanger,65,0.2,10,430,485,1
Sanger,66,0.05,10,63,98,1
Sanger,66,0.1,10,125,163,1
Sanger,66,0.2,10,437,511,1
Sanger,67,0.05,10,58,87,1
Sanger,67,0.1,10,119,123,1
Sanger,67,0.2,10,418,429,1
Sanger,68,0.05,10,77,105,1
Sanger,68,0.1,10,144,155,1
Sanger,68,0.2,10,467,481,1
Sanger,69,0.05,10,87,134,1
Sanger,69,0.1,10,130,220,1
Sanger,69,0.2,10,492,413,0
Sanger,70,0.05,10,62,114,1
Sanger,70,0.1,10,95,167,1
Sanger,70,0.2,10,442,482,1
Sanger,71,0.05,10,77,151,1
Sanger,71,0.1,10,121,217,1
Sanger,71,0.2,10,382,457,1
Sanger,72,0.05,10,71,127,1
Sanger,72,0.1,10,117,217,1
Sanger,72,0.2,10,523,483,0
Sanger,73,0.05,10,90,125,1
Sanger,73,0.1,10,142,235,1
Sanger,73,0.2,10,574,532,0
Sanger,74,0.05,10,61,135,1
Sanger,74,0.1,10,102,202,1
Sanger,74,0.2,10,507,563,1
Sanger,75,0.05,10,80,131,1
Sanger,75,0.1,10,144,198,1
Sanger,75,0.2,10,596,542,0
Sanger,76,0.05,10,69,155,1
Sanger,76,0.1,10,133,240,1
Sanger,76,0.2,10,496,552,1
Sanger,77,0.05,10,74,128,1
Sanger,77,0.1,10,132,201,1
Sanger,77,0.2,10,456,541,1
Sanger,78,0.05,10,57,107,1
Sanger,78,0.1,10,106,151,1
Sanger,78,0.2,10,397,414,1
Sanger,79,0.05,10,87,79,0
Sanger,79,0.1,10,110,173,1
Sanger,79,0.2,10,391,473,1
Sanger,80,0.05,10,92,186,1
Sanger,80,0.1,10,153,274,1
Sanger,80,0.2,10,509,565,1
Sanger,81,0.05,10,70,128,1
Sanger,81,0.1,10,105,183,1
Sanger,81,0.2,10,454,508,1
Sanger,82,0.05,10,73,105,1
Sanger,82,0.1,10,122,203,1
Sanger,82,0.2,10,421,440,1
Sanger,83,0.05,10,56,135,1
Sanger,83,0.1,10,79,198,1
Sanger,83,0.2,10,432,491,1
Sanger,84,0.05,10,78,79,1
Sanger,84,0.1,10,121,148,1
Sanger,84,0.2,10,438,493,1
Sanger,85,0.05,10,63,101,1
Sanger,85,0.1,10,117,146,1
Sanger,85,0.2,10,556,521,0
Sanger,86,0.05,10,91,84,0
Sanger,86,0.1,10,131,134,1
Sanger,86,0.2,10,455,455,0
Sanger,87,0.05,10,68,63,0
Sanger,87,0.1,10,103,136,1
Sanger,87,0.2,10,459,422,0
Sanger,88,0.05,10,81,116,1
Sanger,88,0.1,10,124,211,1
Sanger,88,0.2,10,436,533,1
Sanger,89,0.05,10,80,145,1
Sanger,89,0.1,10,122,199,1
Sanger,89,0.2,10,409,470,1
Sanger,90,0.05,10,65,156,1
Sanger,90,0.1,10,106,207,1
Sanger,90,0.2,10,436,465,1
Sanger,91,0.05,10,84,123,1
Sanger,91,0.1,10,144,200,1
Sanger,91,0.2,10,477,459,0
Sanger,92,0.05,10,93,70,0
Sanger,92,0.1,10,149,157,1
Sanger,92,0.2,10,550,522,0
Sanger,93,0.05,10,74,180,1
Sanger,93,0.1,10,116,250,1
Sanger,93,0.2,10,512,514,1
Sanger,94,0.05,10,117,93,0
Sanger,94,0.1,10,140,152,1
Sanger,94,0.2,10,480,495,1
Sanger,95,0.05,10,85,130,1
Sanger,95,0.1,10,139,216,1
Sanger,95,0.2,10,446,523,1
Sanger,96,0.05,10,71,146,1
Sanger,96,0.1,10,135,210,1
Sanger,96,0.2,10,512,462,0
Sanger,97,0.05,10,107,84,0
Sanger,97,0.1,10,161,146,0
Sanger,97,0.2,10,571,561,0
Sanger,98,0.05,10,92,124,1
Sanger,98,0.1,10,137,209,1
Sanger,98,0.2,10,427,507,1
Sanger,99,0.05,10,76,114,1
Sanger,99,0.1,10,137,216,1
Sanger,99,0.2,10,534,490,0
DRIVE,0,0.05,10,34,24,0
DRIVE,0,0.1,10,87,68,0
DRIVE,0,0.2,10,240,240,0
DRIVE,1,0.05,10,57,49,0
DRIVE,1,0.1,10,183,82,0
DRIVE,1,0.2,10,255,255,0
DRIVE,2,0.05,10,25,15,0
DRIVE,2,0.1,10,93,68,0
DRIVE,2,0.2,10,252,252,0
DRIVE,3,0.05,10,33,47,1
DRIVE,3,0.1,10,139,101,0
DRIVE,3,0.2,10,241,241,0
DRIVE,4,0.05,10,25,38,1
DRIVE,4,0.1,10,82,88,1
DRIVE,4,0.2,10,212,212,0
DRIVE,5,0.05,10,25,43,1
DRIVE,5,0.1,10,90,81,0
DRIVE,5,0.2,10,269,269,0
DRIVE,6,0.05,10,24,20,0
DRIVE,6,0.1,10,101,65,0
DRIVE,6,0.2,10,240,240,0
DRIVE,7,0.05,10,30,19,0
DRIVE,7,0.1,10,89,57,0
DRIVE,7,0.2,10,180,180,0
DRIVE,8,0.05,10,37,46,1
DRIVE,8,0.1,10,107,112,1
DRIVE,8,0.2,10,231,231,0
DRIVE,9,0.05,10,25,7,0
DRIVE,9,0.1,10,83,32,0
DRIVE,9,0.2,10,154,154,0
DRIVE,10,0.05,10,29,36,1
DRIVE,10,0.1,10,76,74,0
DRIVE,10,0.2,10,193,193,0
DRIVE,11,0.05,10,55,37,0
DRIVE,11,0.1,10,123,68,0
DRIVE,11,0.2,10,223,223,0
DRIVE,12,0.05,10,25,50,1
DRIVE,12,0.1,10,80,84,1
DRIVE,12,0.2,10,232,232,0
DRIVE,13,0.05,10,20,24,1
DRIVE,13,0.1,10,90,61,0
DRIVE,13,0.2,10,191,191,0
DRIVE,14,0.05,10,30,20,0
DRIVE,14,0.1,10,57,70,1
DRIVE,14,0.2,10,230,230,0
DRIVE,15,0.05,10,40,34,0
DRIVE,15,0.1,10,101,52,0
DRIVE,15,0.2,10,227,227,0
DRIVE,16,0.05,10,33,27,0
DRIVE,16,0.1,10,91,43,0
DRIVE,16,0.2,10,217,180,0
DRIVE,17,0.05,10,43,47,1
DRIVE,17,0.1,10,126,94,0
DRIVE,17,0.2,10,295,295,0
DRIVE,18,0.05,10,25,34,1
DRIVE,18,0.1,10,94,59,0
DRIVE,18,0.2,10,207,207,0
DRIVE,19,0.05,10,20,33,1
DRIVE,19,0.1,10,69,81,1
DRIVE,19,0.2,10,260,260,0
DRIVE,20,0.05,10,39,42,1
DRIVE,20,0.1,10,118,70,0
DRIVE,20,0.2,10,250,250,0
DRIVE,21,0.05,10,26,23,0
DRIVE,21,0.1,10,56,35,0
DRIVE,21,0.2,10,215,215,0
DRIVE,22,0.05,10,19,42,1
DRIVE,22,0.1,10,92,82,0
DRIVE,22,0.2,10,224,224,0
DRIVE,23,0.05,10,17,26,1
DRIVE,23,0.1,10,48,42,0
DRIVE,23,0.2,10,237,237,0
DRIVE,24,0.05,10,42,53,1
DRIVE,24,0.1,10,119,74,0
DRIVE,24,0.2,10,291,251,0
DRIVE,25,0.05,10,52,58,1
DRIVE,25,0.1,10,112,87,0
DRIVE,25,0.2,10,195,195,0
DRIVE,26,0.05,10,20,9,0
DRIVE,26,0.1,10,92,65,0
DRIVE,26,0.2,10,169,169,0
DRIVE,27,0.05,10,23,54,1
DRIVE,27,0.1,10,92,92,0
DRIVE,27,0.2,10,215,215,0
DRIVE,28,0.05,10,63,47,0
DRIVE,28,0.1,10,105,65,0
DRIVE,28,0.2,10,245,245,0
DRIVE,29,0.05,10,30,31,1
DRIVE,29,0.1,10,108,68,0
DRIVE,29,0.2,10,290,290,0
DRIVE,30,0.05,10,22,12,0
DRIVE,30,0.1,10,99,31,0
DRIVE,30,0.2,10,199,199,0
DRIVE,31,0.05,10,38,60,1
DRIVE,31,0.1,10,94,108,1
DRIVE,31,0.2,10,308,308,0
DRIVE,32,0.05,10,25,39,1
DRIVE,32,0.1,10,62,74,1
DRIVE,32,0.2,10,201,153,0
DRIVE,33,0.05,10,37,46,1
DRIVE,33,0.1,10,111,92,0
DRIVE,33,0.2,10,307,307,0
DRIVE,34,0.05,10,38,35,0
DRIVE,34,0.1,10,108,50,0
DRIVE,34,0.2,10,203,203,0
DRIVE,35,0.05,10,37,65,1
DRIVE,35,0.1,10,88,115,1
DRIVE,35,0.2,10,276,276,0
