repeat,alpha,arm,label,fdp,correct,total,units
16,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.04369618175757109,884,1251,498
16,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.03782496089442777,907,1236,488
16,0.05,goco-rank,top3813,0.03444803446418955,952,1134,747
16,0.1,global-coarse,global_27.1593,0.08731517809062236,1251,1974,744
16,0.1,global-dense,global_27.0694,0.08812447111316253,1258,1989,750
16,0.1,goco-score,adapt_27.1593_to_23.0262_q0.1,0.09123547965228095,1297,2064,771
16,0.1,goco,adapt_27.1593_to_23.0262_q0.3,0.09277982921763211,1365,2143,803
16,0.1,goco-rank,top7261,0.0790295407339026,1646,2153,1077
16,0.2,global-coarse,global_19.5221,0.15800780712735477,1876,3354,1087
16,0.2,global-dense,global_16.7443,0.19395326447022732,2199,4203,1237
16,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.18410643476071584,2164,4122,1199
16,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18630473905918168,2173,4074,1213
16,0.2,goco-rank,top13828,0.1744379243086836,2688,4088,1543
17,0.05,global-coarse,global_37.7842,0.029975126291766036,735,1011,399
17,0.05,global-dense,global_34.418,0.04537195168859143,886,1263,511
17,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.04463112547119009,926,1330,504
17,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.039067748801189836,945,1318,490
17,0.05,goco-rank,top4337,0.046601277021309326,1069,1316,744
17,0.1,global-coarse,global_27.1593,0.08744929097110034,1305,2057,756
17,0.1,global-dense,global_26.6395,0.09232812780470291,1332,2117,781
17,0.1,goco-score,adapt_27.1593_to_23.0262_q0.1,0.09058389106854374,1359,2153,781
17,0.1,goco,adapt_27.1593_to_23.0262_q0.35,0.0910920070774675,1442,2248,803
17,0.1,goco-rank,top7261,0.07961048285765572,1647,2170,1031
17,0.2,global-coarse,global_19.5221,0.15535613462107808,1930,3434,1096
17,0.2,global-dense,global_16.7443,0.19779872075510202,2255,4297,1255
17,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.1849357176659277,2242,4231,1210
17,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.1892522941068983,2237,4171,1232
17,0.2,goco-rank,top13828,0.16825952274255987,2756,4183,1523
18,0.05,global-coarse,global_37.7842,0.0327966253814396,732,1002,407
18,0.05,global-dense,global_34.418,0.04290573633869272,874,1240,502
18,0.05,goco-score,adapt_37.7842_to_32.0342_q0.5,0.04194938072159397,892,1273,488
18,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.040663640792881504,935,1304,508
18,0.05,goco-rank,top4337,0.04237172090160782,1071,1343,781
18,0.1,global-coarse,global_27.1593,0.08732261456009438,1276,2012,742
18,0.1,global-dense,global_26.6395,0.09101674487781111,1291,2063,759
18,0.1,goco-score,adapt_27.1593_to_23.0262_q0.1,0.09149062748416545,1318,2106,766
18,0.1,goco,adapt_27.1593_to_23.0262_q0.4,0.09460625176295612,1442,2266,808
18,0.1,goco-rank,top8259,0.10029193567158025,1771,2520,1146
18,0.2,global-coarse,global_19.5221,0.15354631008912106,1898,3344,1078
18,0.2,global-dense,global_16.7443,0.1923844724652479,2188,4154,1233
18,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.17875523058883316,2152,4034,1186
18,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18494831770276035,2180,4048,1210
18,0.2,goco-rank,top13828,0.1792364398735236,2629,4207,1582
19,0.05,global-coarse,global_37.7842,0.035790445418878374,808,1109,452
19,0.05,global-dense,global_34.418,0.04918250121804241,952,1365,548
19,0.05,goco-score,adapt_37.7842_to_32.0342_q0.5,0.04644485473241531,965,1404,528
19,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.05279765110136676,1017,1472,569
19,0.05,goco-rank,top3813,0.0439472267097469,988,1177,831
19,0.1,global-coarse,global_27.1593,0.09773610790573634,1362,2170,797
19,0.1,global-dense,global_26.2163,0.10647870349001207,1409,2269,835
19,0.1,goco-score,adapt_27.1593_to_23.0262_q0.225,0.10629612534297508,1454,2367,836
19,0.1,goco,adapt_27.1593_to_23.0262_q0.4,0.10417262866374337,1507,2382,858
19,0.1,goco-rank,top7261,0.09784098776828987,1689,2258,1140
19,0.2,global-coarse,global_19.5221,0.1635654374345812,1991,3529,1119
19,0.2,global-dense,global_16.7443,0.206417265197556,2309,4400,1288
19,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.19030676288349954,2258,4270,1226
19,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.19613312015573728,2279,4254,1258
19,0.2,goco-rank,top13828,0.19081106830702954,2780,4291,1630
20,0.05,global-coarse,global_37.7842,0.028646690771084952,707,950,399
20,0.05,global-dense,global_34.9736,0.03803446418955304,831,1152,481
20,0.05,goco-score,adapt_37.7842_to_32.0342_q0.5,0.03976728979152243,888,1256,489
20,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.0366144831653717,920,1251,496
20,0.05,goco-rank,top4337,0.05014001077005924,1045,1282,777
20,0.1,global-coarse,global_27.1593,0.09876900787240044,1231,2033,765
20,0.1,global-dense,global_26.6395,0.1022154268277047,1246,2079,777
20,0.1,goco-score,adapt_27.1593_to_23.0262_q0.15,0.10483716696156113,1292,2167,793
20,0.1,goco,adapt_27.1593_to_23.0262_q0.3,0.10276816165346052,1360,2221,814
20,0.1,goco-rank,top7261,0.08439726132779445,1573,2087,997
20,0.2,global-coarse,global_19.5221,0.15835241405516043,1847,3376,1079
20,0.2,global-dense,global_16.7443,0.19911527980187105,2148,4180,1245
20,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.19044927788061874,2128,4134,1206
20,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.1919833702466982,2124,4035,1216
20,0.2,goco-rank,top13828,0.18065642488905817,2573,3979,1498
21,0.05,global-coarse,global_37.7842,0.03156986434853963,730,995,399
21,0.05,global-dense,global_34.9736,0.03941200605174757,837,1173,469
21,0.05,goco-score,adapt_37.7842_to_32.0342_q0.5,0.04195912506090212,889,1275,478
21,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.04046054824730108,926,1293,494
21,0.05,goco-rank,top4337,0.04266020463112547,1020,1244,771
21,0.1,global-coarse,global_27.1593,0.08713465138343975,1236,1981,725
21,0.1,global-dense,global_27.0694,0.08845398363976717,1237,1988,730
21,0.1,goco-score,adapt_27.1593_to_23.0262_q0.05,0.09034412903556684,1247,2008,739
21,0.1,goco,adapt_27.1593_to_23.0262_q0.3,0.09065107572377364,1330,2125,774
21,0.1,goco-rank,top7261,0.09308023694130317,1573,2136,1116
21,0.2,global-coarse,global_19.5221,0.1497447822326659,1829,3281,1051
21,0.2,global-dense,global_16.7443,0.1914021304489802,2115,4098,1217
21,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.18022686521878767,2084,4012,1174
21,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.1854019136490865,2096,3989,1198
21,0.2,goco-rank,top13828,0.1939559453291279,2551,4076,1580
22,0.05,global-coarse,global_37.7842,0.02903248967869323,699,935,380
22,0.05,global-dense,global_33.8713,0.04761725260917506,836,1206,492
22,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.04572044003384875,852,1250,474
22,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.05096161243172552,896,1308,514
22,0.05,goco-rank,top4337,0.045718901453957995,1067,1272,786
22,0.1,global-coarse,global_27.1593,0.0970375926353309,1204,1976,736
22,0.1,global-dense,global_26.2163,0.10276162268892479,1252,2079,770
22,0.1,goco-score,adapt_27.1593_to_23.0262_q0.225,0.10507564684462908,1304,2199,778
22,0.1,goco,adapt_27.1593_to_23.0262_q0.35,0.10305779931789626,1330,2179,797
22,0.1,goco-rank,top8259,0.10297202348898633,1789,2442,1099
22,0.2,global-coarse,global_19.5221,0.15937777264917813,1805,3329,1062
22,0.2,global-dense,global_16.7443,0.19849405485915983,2105,4175,1226
22,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.18816167497912248,2070,4083,1188
22,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.19086455189040005,2094,4050,1207
22,0.2,goco-rank,top13828,0.1895477417932991,2584,4064,1547
23,0.05,global-coarse,global_37.7842,0.03175859681513963,705,961,394
23,0.05,global-dense,global_33.8713,0.047993948252429676,843,1221,492
