repeat,alpha,delta,arm,label,fdp,correct,total,units
38,0.2,0.5,goco-rank,top11197,0.18771337186424772,390,3144,993
38,0.2,0.1,goco-rank,top11197,0.18771337186424772,390,3144,993
39,0.05,0.5,goco-rank,top2097,0.045354261727203894,202,660,306
39,0.05,0.1,goco-rank,top1844,0.0404468766541371,193,586,281
39,0.1,0.5,goco-rank,top3994,0.09430599564358534,231,1258,540
39,0.1,0.1,goco-rank,top3994,0.09430599564358534,231,1258,540
39,0.2,0.5,goco-rank,top11197,0.17826853019678107,439,3445,964
39,0.2,0.1,goco-rank,top11197,0.17826853019678107,439,3445,964
40,0.05,0.5,goco-rank,top1844,0.048562669214843125,144,546,299
40,0.05,0.1,goco-rank,top1621,0.04504562905787051,134,497,276
40,0.1,0.5,goco-rank,top3512,0.09116638134156074,179,1027,509
40,0.1,0.1,goco-rank,top3087,0.08531710128903036,173,912,481
40,0.2,0.5,goco-rank,top9843,0.19071180272343743,321,2909,1018
40,0.2,0.1,goco-rank,top9843,0.19071180272343743,321,2909,1018
41,0.05,0.5,goco-rank,top1621,0.044786829886027855,138,494,296
41,0.05,0.1,goco-rank,top1621,0.044786829886027855,138,494,296
41,0.1,0.5,goco-rank,top3087,0.0916214782825167,199,981,544
41,0.1,0.1,goco-rank,top3087,0.0916214782825167,199,981,544
41,0.2,0.5,goco-rank,top9843,0.19662091825520717,412,3153,1067
41,0.2,0.1,goco-rank,top9843,0.19662091825520717,412,3153,1067
42,0.05,0.5,goco-rank,top1844,0.043050549656712594,181,603,280
42,0.05,0.1,goco-rank,top1844,0.043050549656712594,181,603,280
42,0.1,0.5,goco-rank,top3512,0.09127614213093319,211,1142,514
42,0.1,0.1,goco-rank,top3087,0.07770602011843042,202,1000,445
42,0.2,0.5,goco-rank,top11197,0.19421704668597747,401,3374,1041
42,0.2,0.1,goco-rank,top9843,0.1806346012577545,378,2988,973
43,0.05,0.5,goco-rank,top2097,0.0505031926939905,154,619,311
43,0.05,0.1,goco-rank,top1844,0.04169145778474609,149,532,266
43,0.1,0.5,goco-rank,top3512,0.09064235797034446,171,1078,502
43,0.1,0.1,goco-rank,top3512,0.09064235797034446,171,1078,502
43,0.2,0.5,goco-rank,top11197,0.19145491158911562,367,3471,1018
43,0.2,0.1,goco-rank,top11197,0.19145491158911562,367,3471,1018
44,0.05,0.5,goco-rank,top1621,0.05217625814924253,139,517,323
44,0.05,0.1,goco-rank,top1621,0.05217625814924253,139,517,323
44,0.1,0.5,goco-rank,top2714,0.0946635443258491,171,869,541
44,0.1,0.1,goco-rank,top2714,0.0946635443258491,171,869,541
44,0.2,0.5,goco-rank,top8653,0.2023084274667221,319,2674,1075
